Date,AccountId,MaskedAccount,AccountLabel,CashConcept,EstimatedAmount,IsObservedAnchor,AnchorAsOfLocal,AnchorAmount,PriorAnchorAsOfLocal,NextAnchorAsOfLocal,CumulativeNetCashActivityFromAnchor,ReconciliationDelta,ReconciliationStatus,DerivationMethod,Confidence,Limitations
2026-06-07,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,15840.29,false,2026-06-14 20:50:00,23671.09,,,15153.29,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-08,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-647.89,false,2026-06-14 20:50:00,23671.09,,,-1334.89,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-09,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,10323.87,false,2026-06-14 20:50:00,23671.09,,,9636.87,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-10,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,13149.96,false,2026-06-14 20:50:00,23671.09,,,12462.96,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-11,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,39253.61,false,2026-06-14 20:50:00,23671.09,,,38566.61,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-12,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,23671.09,false,2026-06-14 20:50:00,23671.09,,,22984.09,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-13,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,23671.09,false,2026-06-14 20:50:00,23671.09,,,22984.09,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-14,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,23671.09,true,2026-06-14 20:50:00,23671.09,,,22984.09,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-15,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,3761.41,false,2026-06-14 20:50:00,23671.09,,,3074.41,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-16,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-130.27,false,2026-06-14 20:50:00,23671.09,,,-817.27,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-17,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-1032.40,false,2026-06-14 20:50:00,23671.09,,,-1719.40,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-18,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,4328.55,false,2026-06-14 20:50:00,23671.09,,,3641.55,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-19,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,4328.55,false,2026-06-14 20:50:00,23671.09,,,3641.55,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-20,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,4328.55,false,2026-06-14 20:50:00,23671.09,,,3641.55,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-21,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,4328.55,false,2026-06-14 20:50:00,23671.09,,,3641.55,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-22,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3671.08,false,2026-06-14 20:50:00,23671.09,,,-4358.08,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-23,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3998.20,false,2026-06-14 20:50:00,23671.09,,,-4685.20,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-24,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-6575.40,false,2026-06-14 20:50:00,23671.09,,,-7262.40,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-25,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-4670.51,false,2026-06-14 20:50:00,23671.09,,,-5357.51,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-26,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-4708.34,false,2026-06-14 20:50:00,23671.09,,,-5395.34,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-27,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-4708.34,false,2026-06-14 20:50:00,23671.09,,,-5395.34,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-28,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-4708.34,false,2026-06-14 20:50:00,23671.09,,,-5395.34,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-29,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-5115.19,false,2026-06-14 20:50:00,23671.09,,,-5802.19,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-06-30,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-3814.38,false,2026-06-14 20:50:00,23671.09,,,-4501.38,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2026-07-01,900001001,x1001,Traditional IRA - x1001,CashAvailToWithdrawEstimated,-6411.45,false,2026-06-14 20:50:00,23671.09,,,-7098.45,,single_anchor,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,medium,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-08-27,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-08-28,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-08-29,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-08-30,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-08-31,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-01,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-02,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-03,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-04,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-05,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-06,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-07,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-08,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-09,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-10,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-11,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-12,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-13,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-14,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-15,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-16,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-17,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-18,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-19,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-20,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-21,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-22,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-23,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-24,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-25,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-26,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-27,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-28,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-29,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-09-30,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-01,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-02,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-03,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-04,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-05,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-06,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-07,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-08,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
2021-10-09,900001002,x1002,Individual Brokerage - x1002,CashAvailToWithdrawEstimated,258.32,false,2026-06-16 19:59:00,243.23,2026-06-14 20:50:00,2026-07-01 19:28:00,24.92,,reconciled,Backward/forward reconstruction from observed CashAvailToWithdraw anchor(s) using account_history NetCashActivityExcludingSweep,high,Estimate excludes sweep mechanics and depends on account-history export coverage
