Date,AccountId,MaskedAccount,AccountLabel,TradeCashFlow,IncomeCashFlow,ExternalTransferCashFlow,InternalTransferCashFlow,SweepCashFlow,OtherCashFlow,NetCashActivityExcludingSweep,NetCashActivityIncludingSweep,BoughtAmount,SoldAmount,DividendAmount,InterestAmount,MarginInterestAmount,Fees,Commissions,ActivityRowCount,SourceHistoryRows
2026-01-21,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-345.68,0.00,0.00,-345.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2026-01-23,900001002,x1002,Individual Brokerage - x1002,-296.54,0.00,0.00,0.00,0.00,0.00,-296.54,-296.54,296.54,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2026-01-26,900001002,x1002,Individual Brokerage - x1002,-293.02,0.00,0.00,0.00,296.54,0.00,-293.02,3.51,439.06,146.03,0.00,0.00,0.00,0.00,0.00,8,8
2026-01-27,900001002,x1002,Individual Brokerage - x1002,321.83,0.00,0.00,0.00,54.77,0.00,321.83,376.60,0.00,321.83,0.00,0.00,0.00,0.00,0.00,6,6
2026-01-28,900001002,x1002,Individual Brokerage - x1002,0.54,0.00,0.00,0.00,-83.58,0.00,0.54,-83.04,126.66,127.20,0.00,0.00,0.00,0.00,0.00,7,7
2026-01-29,900001002,x1002,Individual Brokerage - x1002,-53.33,0.00,0.00,0.00,-0.54,0.00,-53.33,-53.87,53.33,0.00,0.00,0.00,0.00,0.00,0.00,4,4
2026-01-30,900001002,x1002,Individual Brokerage - x1002,-387.06,-0.08,0.00,0.00,53.33,0.00,-387.14,-333.81,387.06,0.00,0.00,0.00,-0.08,0.00,0.00,9,9
2026-02-02,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,30.79,0.00,0.00,30.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-02-06,900001002,x1002,Individual Brokerage - x1002,115.71,0.00,0.00,0.00,0.00,0.00,115.71,115.71,0.00,115.71,0.00,0.00,0.00,0.00,0.00,3,3
2026-02-09,900001002,x1002,Individual Brokerage - x1002,-118.61,0.00,0.00,0.00,0.00,0.00,-118.61,-118.61,192.00,73.39,0.00,0.00,0.00,0.00,0.00,2,2
2026-02-11,900001002,x1002,Individual Brokerage - x1002,199.97,0.00,0.00,0.00,0.00,0.00,199.97,199.97,0.00,199.97,0.00,0.00,0.00,0.00,0.00,1,1
2026-02-12,900001002,x1002,Individual Brokerage - x1002,141.70,0.00,22.22,0.00,0.00,0.00,163.92,163.92,71.28,212.98,0.00,0.00,0.00,0.00,0.00,7,7
2026-02-13,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-4.64,0.00,0.00,-4.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-02-26,900001002,x1002,Individual Brokerage - x1002,-83.67,0.00,0.00,0.00,0.00,0.00,-83.67,-83.67,83.67,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2026-02-27,900001002,x1002,Individual Brokerage - x1002,0.00,-1.29,0.00,0.00,4.64,0.00,-1.29,3.35,0.00,0.00,0.00,0.00,-1.29,0.00,0.00,4,4
2026-03-02,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,56.79,0.00,0.00,0.00,56.79,56.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-09,900001002,x1002,Individual Brokerage - x1002,14.52,0.00,0.00,0.00,0.00,0.00,14.52,14.52,54.68,69.20,0.00,0.00,0.00,0.00,0.00,2,2
2026-03-10,900001002,x1002,Individual Brokerage - x1002,74.35,0.00,0.00,0.00,0.00,0.00,74.35,74.35,0.00,74.35,0.00,0.00,0.00,0.00,0.00,1,1
2026-03-11,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-65.34,0.00,0.00,-65.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-16,900001002,x1002,Individual Brokerage - x1002,-93.10,0.00,156.79,0.00,0.00,0.00,63.68,63.68,160.65,67.55,0.00,0.00,0.00,0.00,0.00,4,4
2026-03-17,900001002,x1002,Individual Brokerage - x1002,-80.37,0.00,0.00,0.00,-63.69,0.00,-80.37,-144.06,80.37,0.00,0.00,0.00,0.00,0.00,0.00,5,5
2026-03-18,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,80.37,0.00,0.00,80.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-20,900001002,x1002,Individual Brokerage - x1002,-201.56,0.00,0.00,0.00,0.00,0.00,-201.56,-201.56,284.86,83.29,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-23,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,48.65,0.00,0.00,48.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-24,900001002,x1002,Individual Brokerage - x1002,188.17,0.00,0.00,0.00,0.00,0.00,188.17,188.17,118.89,307.06,0.00,0.00,0.00,0.00,0.00,2,2
2026-03-25,900001002,x1002,Individual Brokerage - x1002,61.88,0.00,0.00,0.00,-35.25,0.00,61.88,26.62,0.00,61.88,0.00,0.00,0.00,0.00,0.00,4,4
2026-03-26,900001002,x1002,Individual Brokerage - x1002,-73.83,0.00,0.00,0.00,-61.88,0.00,-73.83,-135.71,73.83,0.00,0.00,0.00,0.00,0.00,0.00,4,4
2026-03-27,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,73.83,0.00,0.00,73.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-03-31,900001002,x1002,Individual Brokerage - x1002,48.30,-0.29,-290.00,0.00,0.00,0.00,-242.00,-242.00,0.00,48.30,0.00,0.00,-0.29,0.00,0.00,5,5
2026-04-01,900001002,x1002,Individual Brokerage - x1002,218.03,0.00,0.00,0.00,23.30,0.00,218.03,241.33,22.00,240.03,0.00,0.00,0.00,0.00,0.00,5,5
2026-04-06,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,10.00,0.00,-9.33,0.00,10.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,4
2026-04-08,900001002,x1002,Individual Brokerage - x1002,-6.62,0.00,0.00,0.00,0.00,0.00,-6.62,-6.62,6.62,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2026-04-09,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,6.62,0.00,0.00,6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-04-14,900001002,x1002,Individual Brokerage - x1002,43.03,0.00,0.00,0.00,0.00,0.00,43.03,43.03,171.28,214.31,0.00,0.00,0.00,0.00,0.01,4,4
2026-04-15,900001002,x1002,Individual Brokerage - x1002,-93.16,0.07,0.00,0.00,-43.10,0.00,-93.09,-136.19,93.16,0.00,0.07,0.00,0.00,0.00,0.00,5,5
2026-04-16,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,45.82,0.00,0.00,45.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-04-17,900001002,x1002,Individual Brokerage - x1002,83.88,0.00,0.00,0.00,0.00,0.00,83.88,83.88,0.00,83.88,0.00,0.00,0.00,0.00,0.00,1,1
2026-04-20,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-36.53,0.00,0.00,-36.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-04-21,900001002,x1002,Individual Brokerage - x1002,-30.82,0.00,0.00,0.00,0.00,0.00,-30.82,-30.82,30.82,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2026-04-22,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,30.82,0.00,0.00,30.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-04-30,900001002,x1002,Individual Brokerage - x1002,-60.30,-0.14,11.11,0.00,-11.11,0.00,-49.33,-60.44,109.55,49.25,0.00,0.00,-0.14,0.00,0.00,6,6
2026-05-01,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,16.82,0.00,0.00,16.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-05-04,900001002,x1002,Individual Brokerage - x1002,40.71,0.00,0.00,0.00,0.00,0.00,40.71,40.71,83.26,123.97,0.00,0.00,0.00,0.00,0.00,2,2
2026-05-05,900001002,x1002,Individual Brokerage - x1002,-27.45,0.00,40.00,0.00,-37.08,0.00,12.55,-24.53,27.45,0.00,0.00,0.00,0.00,0.00,0.00,5,5
2026-05-06,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,27.45,0.00,0.00,27.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-05-20,900001002,x1002,Individual Brokerage - x1002,-117.15,0.00,0.00,0.00,0.00,0.00,-117.15,-117.15,173.61,56.46,0.00,0.00,0.00,0.00,0.00,2,2
2026-05-21,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,9.63,0.00,0.00,9.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-05-22,900001002,x1002,Individual Brokerage - x1002,89.75,0.00,0.00,0.00,0.00,0.00,89.75,89.75,0.00,89.75,0.00,0.00,0.00,0.00,0.00,2,2
2026-05-29,900001002,x1002,Individual Brokerage - x1002,0.00,-0.28,0.00,0.00,0.00,0.00,-0.28,-0.28,0.00,0.00,0.00,0.00,-0.28,0.00,0.00,1,1
2026-06-01,900001002,x1002,Individual Brokerage - x1002,23.18,0.00,0.00,0.00,0.00,0.00,23.18,23.18,68.49,91.67,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-02,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-5.13,0.00,0.00,-5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-03,900001002,x1002,Individual Brokerage - x1002,-8.46,0.00,0.00,0.00,0.00,0.00,-8.46,-8.46,96.90,88.44,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-04,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,5.13,0.00,0.00,5.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-16,900001002,x1002,Individual Brokerage - x1002,13.14,0.00,0.00,0.00,0.00,0.00,13.14,13.14,0.00,13.14,0.00,0.00,0.00,0.00,0.00,2,2
2026-06-17,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,-3.23,0.00,0.00,-3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-26,900001002,x1002,Individual Brokerage - x1002,-81.70,0.00,0.00,0.00,0.00,0.00,-81.70,-81.70,81.70,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2026-06-29,900001002,x1002,Individual Brokerage - x1002,0.00,0.00,0.00,0.00,3.23,0.00,0.00,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2026-06-30,900001002,x1002,Individual Brokerage - x1002,84.70,-0.07,0.00,0.00,0.00,0.00,84.63,84.63,0.00,84.70,0.00,0.00,-0.07,0.00,0.00,2,2
2024-01-31,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-03-11,900001003,x1003,Partnership / LLC / LLP - x1003,726.53,0.00,0.00,0.00,0.00,0.00,726.53,726.53,0.00,726.53,0.00,0.00,0.00,0.00,0.01,1,1
2024-03-13,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-726.53,0.00,0.00,-726.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-03-14,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,27.45,0.00,-600.00,-27.45,0.00,-572.55,-600.00,0.00,0.00,27.45,0.00,0.00,0.00,0.00,3,3
2024-03-15,900001003,x1003,Partnership / LLC / LLP - x1003,-201.63,0.00,0.00,0.00,600.00,0.00,-201.63,398.37,201.63,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-03-19,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,201.63,0.00,0.00,201.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-03-27,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,5.07,0.00,0.00,-5.07,0.00,5.07,0.00,0.00,0.00,5.07,0.00,0.00,0.00,0.00,3,3
2024-03-28,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-5.07,0.00,0.00,-5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2024-04-01,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,5.07,0.00,0.00,5.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-04-04,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,1.62,0.00,0.00,-1.62,0.00,1.62,0.00,0.00,0.00,1.62,0.00,0.00,0.00,0.00,2,2
2024-04-09,900001003,x1003,Partnership / LLC / LLP - x1003,852.99,0.00,0.00,0.00,0.00,0.00,852.99,852.99,0.00,852.99,0.00,0.00,0.00,0.00,0.01,1,1
2024-04-11,900001003,x1003,Partnership / LLC / LLP - x1003,-258.70,0.00,0.00,-600.00,-852.99,0.00,-858.70,-1711.69,258.70,0.00,0.00,0.00,0.00,0.00,0.00,3,3
2024-04-12,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,600.00,0.00,0.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-04-15,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,258.70,0.00,0.00,258.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-04-24,900001003,x1003,Partnership / LLC / LLP - x1003,-451.25,0.00,0.00,444.44,0.00,0.00,-6.80,-6.80,451.25,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-04-25,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-444.44,0.00,0.00,-444.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-04-26,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,451.25,0.00,0.00,451.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-04-30,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,6.03,0.00,0.00,-0.00,0.00,6.03,6.03,0.00,0.00,6.03,0.00,0.00,0.00,0.00,3,3
2024-05-01,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-6.03,0.00,0.00,-6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-06,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,3.71,0.00,0.00,-3.71,0.00,3.71,0.00,0.00,0.00,3.71,0.00,0.00,0.00,0.00,2,2
2024-05-10,900001003,x1003,Partnership / LLC / LLP - x1003,2275.90,0.00,0.00,0.00,0.00,0.00,2275.90,2275.90,0.00,2275.90,0.00,0.00,0.00,0.00,0.02,1,1
2024-05-14,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-2275.90,0.00,0.00,-2275.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-15,900001003,x1003,Partnership / LLC / LLP - x1003,4109.53,0.00,0.00,-1000.00,0.00,0.00,3109.54,3109.54,1220.17,5329.71,0.00,0.00,0.00,0.00,0.04,4,4
2024-05-16,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-17,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-4109.53,0.00,0.00,-4109.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-23,900001003,x1003,Partnership / LLC / LLP - x1003,-4715.82,0.00,0.00,-678.91,0.00,0.00,-5394.73,-5394.73,4715.82,0.00,0.00,0.00,0.00,0.00,0.00,4,4
2024-05-24,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,678.91,0.00,0.00,678.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-28,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,4715.81,0.00,0.00,4715.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-05-31,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,6.05,0.00,0.00,-0.02,0.00,6.05,6.03,0.00,0.00,6.03,0.02,0.00,0.00,0.00,3,3
2024-06-03,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-6.03,0.00,0.00,-6.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-06-05,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,30.54,0.00,0.00,-30.54,0.00,30.54,0.00,0.00,0.00,30.54,0.00,0.00,0.00,0.00,2,2
2024-06-13,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,25.95,0.00,0.00,-25.95,0.00,25.95,0.00,0.00,0.00,25.95,0.00,0.00,0.00,0.00,2,2
2024-06-17,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.48,0.00,0.00,-0.48,0.00,0.48,0.00,0.00,0.00,0.48,0.00,0.00,0.00,0.00,2,2
2024-06-24,900001003,x1003,Partnership / LLC / LLP - x1003,456.25,0.00,0.00,0.00,0.00,0.00,456.25,456.25,0.00,456.25,0.00,0.00,0.00,0.00,0.01,1,1
2024-06-25,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-456.25,0.00,0.00,-456.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-06-26,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,-345.68,0.00,0.00,-345.68,-345.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-06-27,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,345.68,0.00,0.00,345.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-06-28,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-07-02,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,3.75,0.00,0.00,-3.75,0.00,3.75,0.00,0.00,0.00,3.75,0.00,0.00,0.00,0.00,2,2
2024-07-03,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,28.60,0.00,0.00,-28.60,0.00,28.60,0.00,0.00,0.00,28.60,0.00,0.00,0.00,0.00,2,2
2024-07-05,900001003,x1003,Partnership / LLC / LLP - x1003,420.11,0.00,0.00,0.00,0.00,0.00,420.11,420.11,9105.33,9525.44,0.00,0.00,0.00,0.00,0.27,4,4
2024-07-08,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,-222.22,-420.11,0.00,-222.22,-642.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2
2024-07-09,900001003,x1003,Partnership / LLC / LLP - x1003,0.00,0.00,0.00,0.00,222.22,0.00,0.00,222.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1
2024-07-31,900001003,x1003,Partnership / LLC / LLP - x1003,11377.88,0.00,0.00,0.00,-0.00,0.00,11377.88,11377.88,0.00,11377.88,0.00,0.00,0.00,0.00,0.32,4,4
