"Account 900001004 Orders, as of 07/01/26 at 07:33 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
GDMN,Filled,150 @ 8.059,Buy 150 Shares @ Market to Open,7.262,"06/12/2026, 11:27:43 AM",900001004
SPMO,Filled,127 @ 15.195,Sell 127 Shares @ Market to Close,15.52,"06/12/2026, 10:42:05 AM",900001004
GDMN,Canceled,--,Sell 35 Shares @ 10.999 Limit GTC to Close,6.969,"06/12/2026, 10:13:46 AM",900001004
GDMN,Filled,35 @ 7.914,Sell 35 Shares @ Market to Close,6.969,"06/12/2026, 10:13:45 AM",900001004
GDMN,Filled,30 @ 7.905,Sell 30 Shares @ 7.898 Limit to Close,6.969,"06/12/2026, 10:13:19 AM",900001004
GDMN,Filled,15 @ 7.924,Sell 15 Shares @ Market to Close,6.969,"06/12/2026, 10:13:05 AM",900001004
SPMO,Filled,71 @ 15.288,Sell 71 Shares @ Market to Close,15.52,"06/12/2026, 10:10:49 AM",900001004
GDMN,Filled,250 @ 7.911,Buy 250 Shares @ Market to Open,7.262,"06/12/2026, 9:35:41 AM",900001004
SPMO,Filled,221 @ 15.029,Buy 221 Shares @ 15.029 Limit to Open,15.567,"06/12/2026, 9:30:35 AM",900001004
GRNJ,Filled,175 @ 3.112,Sell 175 Shares @ Market CLO to Close,3.077,"06/11/2026, 4:00:04 PM",900001004
EWY,Filled,10 @ 19.894,Sell 10 Shares @ Market CLO to Close,18.55,"06/11/2026, 4:00:03 PM",900001004
GM,Filled,35 @ 8.085,Buy 35 Shares @ Market CLO to Open,7.576,"06/11/2026, 4:00:03 PM",900001004
GDE,Filled,140 @ 6.315,Sell 140 Shares @ Market CLO to Close,5.948,"06/11/2026, 4:00:03 PM",900001004
EWY,Filled,15 @ 19.894,Sell 15 Shares @ Market CLO to Close,18.55,"06/11/2026, 4:00:03 PM",900001004
MSFT,Filled,10 @ 39.034,Buy 10 Shares @ Market CLO to Open,38.39,"06/11/2026, 4:00:02 PM",900001004
COPJ,Filled,25 @ 4.087,Sell 25 Shares @ Market CLO to Close,3.7,"06/11/2026, 4:00:02 PM",900001004
GDMN,Filled,40 @ 7.845,Sell 40 Shares @ Market CLO to Close,6.969,"06/11/2026, 4:00:02 PM",900001004
IAUM,Filled,75 @ 4.192,Sell 75 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
IAUM,Filled,45 @ 4.192,Sell 45 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
GRNJ,Filled,150 @ 3.112,Sell 150 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
BRK.B,Filled,20 @ 48.218,Buy 20 Shares @ Market to Open,--,"06/11/2026, 10:29:51 AM",900001004
EMEQ,Filled,50 @ 6.438,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:27:41 AM",900001004
EAT,Filled,15 @ 15.345,Sell 15 Shares @ 15.345 Limit to Close,--,"06/11/2026, 10:09:38 AM",900001004
EWY,Filled,20 @ 18.815,Buy 20 Shares @ Market to Open,--,"06/11/2026, 10:07:53 AM",900001004
AMZN,Filled,9 @ 23.788,Buy 9 Shares @ Market to Open,--,"06/11/2026, 10:06:21 AM",900001004
SHLD,Filled,50 @ 6.377,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:05:34 AM",900001004
VGSH,Filled,800 @ 5.811,Buy 800 Shares @ Market to Open,--,"06/11/2026, 10:04:35 AM",900001004
SHLD,Filled,15 @ 6.373,Sell 15 Shares @ Market to Close,--,"06/11/2026, 10:03:27 AM",900001004
SPMO,Filled,25 @ 14.733,Sell 25 Shares @ Market to Close,--,"06/11/2026, 10:02:56 AM",900001004
GRNY,Filled,200 @ 2.666,Sell 200 Shares @ Market to Close,--,"06/11/2026, 10:02:34 AM",900001004
GRNY,Canceled,--,Sell 300 Shares @ 2.799 Limit GTC to Close,--,"06/11/2026, 10:02:15 AM",900001004
GRNY,Filled,50 @ 2.666,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:01:44 AM",900001004
AMZN,Filled,20 @ 23.787,Sell 20 Shares @ Market to Close,--,"06/11/2026, 10:01:03 AM",900001004
SHLD,Filled,30 @ 6.384,Sell 30 Shares @ Market to Close,--,"06/11/2026, 9:59:24 AM",900001004
LITE,Filled,5 @ 87.751,Sell 5 Shares @ Market to Close,--,"06/11/2026, 9:58:06 AM",900001004
BE,Filled,23 @ 24.366,Sell 23 Shares @ Market to Close,--,"06/11/2026, 9:57:49 AM",900001004
STRL,Filled,5 @ 81.799,Sell 5 Shares @ 81.799 Limit to Close,--,"06/11/2026, 9:56:57 AM",900001004
CRDO,Filled,10 @ 25.85,Sell 10 Shares @ Market to Close,--,"06/11/2026, 9:56:20 AM",900001004
IAUM,Filled,100 @ 4.06,Buy 100 Shares @ Market to Open,--,"06/11/2026, 9:30:10 AM",900001004
IBIT,Canceled,--,Buy 600 Shares @ 3.443 Limit GTC to Open,--,"06/11/2026, 9:23:46 AM",900001004
AMZN,Filled,10 @ 23.8,Sell 10 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
EMEQ,Filled,40 @ 6.215,Sell 40 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
LITE,Filled,13 @ 85.326,Sell 13 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
CRDO,Filled,62 @ 23.768,Sell 62 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
PLTR,Filled,20 @ 13.021,Sell 20 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
EWY,Filled,15 @ 17.845,Sell 15 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
GRNJ,Filled,400 @ 2.982,Sell 400 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
VOOV,Filled,10 @ 21.703,Sell 10 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
CGDV,Filled,240 @ 4.727,Sell 240 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SNDK,Filled,1 @ 164.323,Sell 1 Share @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SPMO,Filled,50 @ 14.368,Sell 50 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
IWM,Filled,25 @ 28.205,Sell 25 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SNDK,Canceled,--,Sell 1 Share @ Market CLO to Close,--,"06/10/2026, 10:13:46 AM",900001004
EMEQ,Canceled,--,Sell 40 Shares @ 7.654 Limit GTC to Close,--,"06/10/2026, 10:12:21 AM",900001004
VGSH,Filled,150 @ 5.811,Buy 150 Shares @ Market to Open,--,"06/10/2026, 10:10:10 AM",900001004
BE,Filled,5 @ 28.732,Buy 5 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:06 PM",900001004
EAT,Filled,25 @ 14.026,Sell 25 Shares @ Market CLO to Close,--,"06/03/2026, 4:00:06 PM",900001004
VGSH,Filled,30 @ 5.811,Buy 30 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
CRDO,Filled,12 @ 21.46,Buy 12 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
LITE,Filled,5 @ 93.8,Buy 5 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
PLTR,Filled,35 @ 14.22,Buy 35 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
CRDO,Filled,25 @ 21.46,Buy 25 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
MU,Filled,5 @ 107.957,Sell 5 Shares @ Market CLO to Close,--,"06/03/2026, 4:00:03 PM",900001004
VOOV,Filled,4 @ 21.972,Buy 4 Shares @ Market to Open,--,"06/03/2026, 12:26:13 PM",900001004
IFRA,Filled,40 @ 6.158,Sell 40 Shares @ Market to Close,--,"06/03/2026, 12:25:04 PM",900001004
EAT,Filled,10 @ 13.923,Sell 10 Shares @ Market to Close,--,"06/03/2026, 12:23:35 PM",900001004
SPMO,Filled,25 @ 15.506,Sell 25 Shares @ Market to Close,--,"06/03/2026, 12:22:39 PM",900001004
BRK.B,Filled,3 @ 47.366,Sell 3 Shares @ Market to Close,--,"06/03/2026, 12:22:04 PM",900001004
VGSH,Filled,30 @ 5.809,Buy 30 Shares @ Market to Open,--,"06/03/2026, 12:21:18 PM",900001004
SNDK,Filled,2 @ 179.658,Sell 2 Shares @ Market to Close,--,"06/03/2026, 12:18:51 PM",900001004
COPJ,Filled,25 @ 4.54,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:17:53 PM",900001004
MU,Filled,5 @ 106.705,Sell 5 Shares @ Market to Close,--,"06/03/2026, 12:16:58 PM",900001004
MU,Canceled,--,Sell 5 Shares @ 108.91 Limit GTC to Close,--,"06/03/2026, 12:16:56 PM",900001004
IAUM,Filled,100 @ 4.423,Buy 100 Shares @ Market to Open,--,"06/03/2026, 12:14:19 PM",900001004
VT,Filled,25 @ 15.817,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:13:59 PM",900001004
VOOV,Filled,15 @ 21.989,Buy 15 Shares @ Market to Open,--,"06/03/2026, 12:13:07 PM",900001004
TTMI,Filled,20 @ 18.693,Sell 20 Shares @ Market to Close,--,"06/03/2026, 12:11:07 PM",900001004
TTMI,Filled,10 @ 18.683,Sell 10 Shares @ Market to Close,--,"06/03/2026, 12:10:50 PM",900001004
SNDK,Filled,2 @ 179.247,Sell 2 Shares @ Market to Close,--,"06/03/2026, 12:10:30 PM",900001004
SNDK,Filled,1 @ 179.103,Sell 1 Share @ Market to Close,--,"06/03/2026, 12:10:12 PM",900001004
STRL,Filled,5 @ 95.367,Sell 5 Shares @ Market to Close,--,"06/03/2026, 12:09:50 PM",900001004
MSFT,Filled,25 @ 42.663,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:09:26 PM",900001004
AMZN,Filled,25 @ 25.01,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:08:55 PM",900001004
LITE,Filled,5 @ 103.999,Sell 5 Shares @ 103.999 Limit GTC to Close,--,"06/03/2026, 9:30:35 AM",900001004
STRL,Filled,1 @ 88,Sell 1 Share @ Market to Close,--,"06/03/2026, 9:30:24 AM",900001004
TTMI,Filled,10 @ 18.123,Sell 10 Shares @ 18.123 Limit GTC to Close,--,"06/03/2026, 9:30:24 AM",900001004
CRDO,Filled,7 @ 23.109,Sell 7 Shares @ 22.678 Limit GTC to Close,--,"06/03/2026, 9:30:23 AM",900001004
LITE,Filled,5 @ 103.333,Sell 5 Shares @ 103.333 Limit GTC to Close,--,"06/03/2026, 9:30:07 AM",900001004
LITE,Filled,4 @ 103.21,Sell 4 Shares @ 103.21 Limit GTC to Close,--,"06/03/2026, 9:30:07 AM",900001004
EWY,Filled,5 @ 20.596,Buy 5 Shares @ Market to Open,--,"05/29/2026, 3:43:06 PM",900001004
AMZN,Filled,15 @ 27.108,Buy 15 Shares @ 27.108 Limit to Open,--,"05/29/2026, 3:42:11 PM",900001004
LITE,Filled,4 @ 84.156,Buy 4 Shares @ 84.168 Limit to Open,--,"05/29/2026, 3:41:44 PM",900001004
GRNJ,Filled,200 @ 3.194,Sell 200 Shares @ Market to Close,--,"05/29/2026, 3:40:51 PM",900001004
VT,Filled,15 @ 15.821,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:40:18 PM",900001004
EMEQ,Filled,50 @ 6.777,Buy 50 Shares @ Market to Open,--,"05/29/2026, 3:39:32 PM",900001004
BRK.B,Filled,3 @ 47.608,Buy 3 Shares @ Market to Open,--,"05/29/2026, 3:39:04 PM",900001004
AMZN,Filled,7 @ 27.125,Buy 7 Shares @ Market to Open,--,"05/29/2026, 3:38:41 PM",900001004
GM,Filled,25 @ 8.344,Buy 25 Shares @ Market to Open,--,"05/29/2026, 3:38:14 PM",900001004
VTI,Filled,15 @ 37.281,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:37:50 PM",900001004
BE,Filled,7 @ 27.87,Buy 7 Shares @ Market to Open,--,"05/29/2026, 3:37:20 PM",900001004
TTMI,Filled,10 @ 17.58,Buy 10 Shares @ Market to Open,--,"05/29/2026, 3:37:00 PM",900001004
CRDO,Filled,20 @ 23.151,Sell 20 Shares @ Market to Close,--,"05/29/2026, 3:36:05 PM",900001004
PLTR,Filled,15 @ 15.661,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:35:43 PM",900001004
STRL,Filled,1 @ 77.939,Buy 1 Share @ Market to Open,--,"05/27/2026, 10:46:13 AM",900001004
IAUM,Filled,75 @ 4.427,Buy 75 Shares @ Market to Open,--,"05/27/2026, 10:45:42 AM",900001004
SPMO,Filled,25 @ 14.88,Buy 25 Shares @ Market to Open,--,"05/27/2026, 10:44:45 AM",900001004
EWY,Filled,10 @ 19.703,Buy 10 Shares @ Market to Open,--,"05/27/2026, 10:44:25 AM",900001004
INCY,Filled,30 @ 9.816,Sell 30 Shares @ Market to Close,--,"05/27/2026, 10:43:07 AM",900001004
BE,Filled,10 @ 29.198,Buy 10 Shares @ Market to Open,--,"05/27/2026, 10:42:27 AM",900001004
TTMI,Filled,20 @ 18.153,Buy 20 Shares @ Market to Open,--,"05/27/2026, 10:42:00 AM",900001004
MU,Filled,2 @ 89.588,Sell 2 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:03 PM",900001004
MU,Filled,5 @ 89.588,Sell 5 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:03 PM",900001004
COPJ,Filled,50 @ 4.435,Sell 50 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:02 PM",900001004
SNDK,Filled,3 @ 158.955,Sell 3 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:01 PM",900001004
PLTR,Filled,15 @ 13.66,Buy 15 Shares @ Market CLO to Open,--,"05/26/2026, 4:00:01 PM",900001004
VOOV,Filled,4 @ 21.991,Buy 4 Shares @ 21.992 Limit to Open,--,"05/26/2026, 3:13:50 PM",900001004
LITE,Filled,3 @ 90.548,Buy 3 Shares @ Market to Open,--,"05/26/2026, 3:13:10 PM",900001004
AMZN,Filled,15 @ 26.317,Buy 15 Shares @ Market to Open,--,"05/26/2026, 3:12:45 PM",900001004
GM,Filled,15 @ 7.953,Sell 15 Shares @ Market to Close,--,"05/26/2026, 3:12:03 PM",900001004
GRNJ,Filled,200 @ 3.129,Sell 200 Shares @ Market to Close,--,"05/26/2026, 3:11:24 PM",900001004
BE,Filled,7 @ 30.24,Buy 7 Shares @ Market to Open,--,"05/26/2026, 3:08:04 PM",900001004
EWY,Filled,7 @ 20.015,Sell 7 Shares @ Market to Close,--,"05/26/2026, 3:07:15 PM",900001004
TTMI,Filled,15 @ 19.693,Sell 15 Shares @ Market to Close,--,"05/26/2026, 3:03:18 PM",900001004
GDMN,Canceled,--,Sell 40 Shares @ Market CLO to Close,--,"05/26/2026, 2:54:04 PM",900001004
IAUM,Canceled,--,Sell 45 Shares @ Market CLO to Close,--,"05/26/2026, 2:53:50 PM",900001004
EAT,Canceled,--,Sell 50 Shares @ Market CLO to Close,--,"05/26/2026, 2:53:35 PM",900001004
EWY,Filled,7 @ 18.203,Buy 7 Shares @ Market CLO to Open,--,"05/22/2026, 4:00:01 PM",900001004
BE,Filled,2 @ 30.339,Buy 2 Shares @ Market to Open,--,"05/22/2026, 3:29:29 PM",900001004
GDE,Filled,35 @ 6.792,Buy 35 Shares @ 6.808 Limit to Open,--,"05/22/2026, 3:28:54 PM",900001004
SNDK,Filled,3 @ 149.379,Buy 3 Shares @ Market to Open,--,"05/22/2026, 3:25:37 PM",900001004
TTMI,Filled,50 @ 17.399,Sell 50 Shares @ 17.399 Limit GTC to Close,--,"05/21/2026, 9:44:46 AM",900001004
TTMI,Canceled,--,Sell 25 Shares @ Market CLO to Close,--,"05/20/2026, 3:41:56 PM",900001004
SNDK,Filled,2 @ 138.234,Buy 2 Shares @ Market to Open,--,"05/20/2026, 10:28:11 AM",900001004
CRDO,Filled,15 @ 17.924,Sell 15 Shares @ Market to Close,--,"05/20/2026, 10:27:21 AM",900001004
GRNJ,Filled,50 @ 3.042,Buy 50 Shares @ Market to Open,--,"05/15/2026, 10:51:23 AM",900001004
GRNY,Filled,50 @ 2.683,Buy 50 Shares @ Market to Open,--,"05/15/2026, 10:50:56 AM",900001004
EWY,Filled,15 @ 17.891,Buy 15 Shares @ Market to Open,--,"05/15/2026, 10:50:27 AM",900001004
BE,Filled,7 @ 28.022,Buy 7 Shares @ Market to Open,--,"05/15/2026, 10:49:07 AM",900001004
EMEQ,Filled,90 @ 6.227,Buy 90 Shares @ Market to Open,--,"05/15/2026, 10:48:22 AM",900001004
VOOV,Filled,13 @ 21.642,Sell 13 Shares @ Market to Close,--,"05/15/2026, 10:47:43 AM",900001004
VTIP,Filled,100 @ 5.037,Sell 100 Shares @ Market to Close,--,"05/15/2026, 10:46:52 AM",900001004
SNDK,Filled,2 @ 138.337,Sell 2 Shares @ Market to Close,--,"05/15/2026, 10:46:33 AM",900001004
BRK.B,Filled,7 @ 48.599,Sell 7 Shares @ Market to Close,--,"05/15/2026, 10:45:54 AM",900001004
BE,Filled,2 @ 28.069,Buy 2 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:06 PM",900001004
CRDO,Filled,20 @ 19.857,Buy 20 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:04 PM",900001004
LITE,Filled,5 @ 99.237,Buy 5 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:04 PM",900001004
SNDK,Filled,1 @ 145.202,Buy 1 Share @ Market CLO to Open,--,"05/12/2026, 4:00:02 PM",900001004
GRNJ,Filled,100 @ 3.064,Buy 100 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:01 PM",900001004
IWM,Filled,7 @ 28.257,Buy 7 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
VTI,Filled,7 @ 36.279,Buy 7 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
SPMO,Filled,25 @ 14.445,Buy 25 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
BE,Canceled,--,Buy 1 Share @ Market CLO to Open,--,"05/12/2026, 12:46:25 PM",900001004
LITE,Filled,3 @ 99.876,Sell 3 Shares @ 99.876 Limit GTC to Close,--,"05/11/2026, 9:33:06 AM",900001004
SNDK,Filled,3 @ 159.999,Sell 3 Shares @ 159.999 Limit GTC to Close,--,"05/11/2026, 9:32:26 AM",900001004
INCY,Filled,10 @ 9.999,Sell 10 Shares @ 9.999 Limit GTC to Close,--,"05/11/2026, 9:30:31 AM",900001004
BRK.B,Filled,20 @ 47.777,Sell 20 Shares @ 47.777 Limit GTC to Close,--,"05/11/2026, 9:30:23 AM",900001004
VTIP,Filled,50 @ 5.041,Sell 50 Shares @ 5.041 Limit GTC to Close,--,"05/11/2026, 9:30:15 AM",900001004
LITE,Filled,5 @ 89.43,Buy 5 Shares @ Market to Open,--,"05/08/2026, 2:33:05 PM",900001004
SHLD,Filled,30 @ 6.528,Buy 30 Shares @ Market to Open,--,"05/08/2026, 2:32:00 PM",900001004
IFRA,Filled,50 @ 6.149,Buy 50 Shares @ 6.149 Limit to Open,--,"05/08/2026, 2:31:38 PM",900001004
CRDO,Filled,20 @ 19.999,Sell 20 Shares @ 19.999 Limit GTC to Close,--,"05/07/2026, 10:28:33 AM",900001004
GDE,Filled,50 @ 6.998,Sell 50 Shares @ 6.988 Limit GTC to Close,--,"05/07/2026, 9:30:01 AM",900001004
GDE,Filled,35 @ 6.998,Sell 35 Shares @ 6.988 Limit GTC to Close,--,"05/07/2026, 9:30:01 AM",900001004
PLTR,Filled,40 @ 13.599,Buy 40 Shares @ 13.599 Limit to Open,--,"05/05/2026, 12:01:44 PM",900001004
PLTR,Canceled,--,Buy 40 Shares @ 13.625 Limit to Open,--,"05/05/2026, 11:57:11 AM",900001004
VTI,Filled,15 @ 35.432,Sell 15 Shares @ 35.432 Limit GTC to Close,--,"04/30/2026, 3:06:42 PM",900001004
BE,Filled,3 @ 27.612,Buy 3 Shares @ Market to Open,--,"04/30/2026, 10:59:04 AM",900001004
BRK.B,Filled,7 @ 47.569,Buy 7 Shares @ Market to Open,--,"04/30/2026, 10:58:38 AM",900001004
CRDO,Filled,20 @ 17.211,Buy 20 Shares @ Market to Open,--,"04/30/2026, 10:57:37 AM",900001004
MU,Filled,7 @ 51.121,Buy 7 Shares @ Market to Open,--,"04/30/2026, 10:57:17 AM",900001004
AMZN,Filled,15 @ 25.97,Buy 15 Shares @ Market to Open,--,"04/30/2026, 10:56:58 AM",900001004
IFRA,Filled,54 @ 6.199,Sell 54 Shares @ 6.199 Limit GTC to Close,--,"04/30/2026, 10:15:56 AM",900001004
TTMI,Filled,20 @ 18,Sell 20 Shares @ 15.555 Limit GTC to Close,--,"04/30/2026, 9:30:25 AM",900001004
AMZN,Filled,10 @ 27.302,Sell 10 Shares @ 26.999 Limit GTC to Close,--,"04/30/2026, 9:30:25 AM",900001004
EAT,Filled,15 @ 14.999,Sell 15 Shares @ 14.999 Limit GTC to Close,--,"04/29/2026, 2:46:08 PM",900001004
INCY,Filled,30 @ 9.999,Sell 30 Shares @ 9.999 Limit GTC to Close,--,"04/29/2026, 9:32:39 AM",900001004
CRDO,Filled,7 @ 17.774,Buy 7 Shares @ Market to Open,--,"04/27/2026, 12:46:01 PM",900001004
VTIP,Filled,40 @ 5.037,Buy 40 Shares @ Market to Open,--,"04/27/2026, 12:44:10 PM",900001004
INCY,Canceled,--,Sell 35 Shares @ 9.999 Limit GTC to Close,--,"04/27/2026, 12:43:19 PM",900001004
INCY,Filled,35 @ 9.63,Sell 35 Shares @ Market to Close,--,"04/27/2026, 12:43:17 PM",900001004
AMZN,Filled,3 @ 26.284,Buy 3 Shares @ Market to Open,--,"04/27/2026, 12:42:25 PM",900001004
GDMN,Filled,15 @ 10.158,Buy 15 Shares @ Market to Open,--,"04/27/2026, 12:35:53 PM",900001004
LITE,Filled,3 @ 84.427,Buy 3 Shares @ Market to Open,--,"04/27/2026, 12:35:24 PM",900001004
CRDO,Filled,15 @ 17.735,Buy 15 Shares @ Market to Open,--,"04/27/2026, 12:34:42 PM",900001004
STRL,Filled,10 @ 50.555,Sell 10 Shares @ 50.555 Limit GTC to Close,--,"04/27/2026, 9:35:13 AM",900001004
MU,Filled,5 @ 51.176,Sell 5 Shares @ 49.999 Limit GTC to Close,--,"04/27/2026, 9:30:40 AM",900001004
IWM,Filled,6 @ 27.684,Buy 6 Shares @ Market to Open,--,"04/27/2026, 9:30:01 AM",900001004
IFRA,Filled,1 @ 6.128,Sell 1 Share @ Market to Close,--,"04/27/2026, 9:30:01 AM",900001004
SHLD,Filled,25 @ 7.288,Buy 25 Shares @ Market to Open,--,"04/20/2026, 3:37:28 PM",900001004
GDMN,Filled,30 @ 11.066,Buy 30 Shares @ Market to Open,--,"04/20/2026, 3:36:20 PM",900001004
CRDO,Filled,40 @ 17.108,Sell 40 Shares @ Market to Close,--,"04/20/2026, 3:35:33 PM",900001004
VTIP,Filled,65 @ 5.017,Buy 65 Shares @ Market to Open,--,"04/20/2026, 3:34:53 PM",900001004
TTMI,Filled,20 @ 12.57,Sell 20 Shares @ Market to Close,--,"04/20/2026, 3:33:58 PM",900001004
IWM,Filled,25 @ 27.731,Buy 25 Shares @ Market to Open,--,"04/20/2026, 3:33:23 PM",900001004
