"Account 900001004 Orders, as of 07/01/26 at 07:33 PM EST"
Symbol,Status,Fill,Description,Market,Time,Account
GDMN,Filled,150 @ 80.59,Buy 150 Shares @ Market to Open,7.262,"06/12/2026, 11:27:43 AM",900001004
SPMO,Filled,127 @ 151.95,Sell 127 Shares @ Market to Close,15.52,"06/12/2026, 10:42:05 AM",900001004
GDMN,Canceled,--,Sell 35 Shares @ 10.999 Limit GTC to Close,6.969,"06/12/2026, 10:13:46 AM",900001004
GDMN,Filled,35 @ 79.14,Sell 35 Shares @ Market to Close,6.969,"06/12/2026, 10:13:45 AM",900001004
GDMN,Filled,30 @ 79.05,Sell 30 Shares @ 7.898 Limit to Close,6.969,"06/12/2026, 10:13:19 AM",900001004
GDMN,Filled,15 @ 79.24,Sell 15 Shares @ Market to Close,6.969,"06/12/2026, 10:13:05 AM",900001004
SPMO,Filled,71 @ 152.88,Sell 71 Shares @ Market to Close,15.52,"06/12/2026, 10:10:49 AM",900001004
GDMN,Filled,250 @ 79.11,Buy 250 Shares @ Market to Open,7.262,"06/12/2026, 9:35:41 AM",900001004
SPMO,Filled,221 @ 150.29,Buy 221 Shares @ 15.029 Limit to Open,15.567,"06/12/2026, 9:30:35 AM",900001004
GRNJ,Filled,175 @ 31.12,Sell 175 Shares @ Market CLO to Close,3.077,"06/11/2026, 4:00:04 PM",900001004
EWY,Filled,10 @ 198.94,Sell 10 Shares @ Market CLO to Close,18.55,"06/11/2026, 4:00:03 PM",900001004
GM,Filled,35 @ 80.85,Buy 35 Shares @ Market CLO to Open,7.576,"06/11/2026, 4:00:03 PM",900001004
GDE,Filled,140 @ 63.15,Sell 140 Shares @ Market CLO to Close,5.948,"06/11/2026, 4:00:03 PM",900001004
EWY,Filled,15 @ 198.94,Sell 15 Shares @ Market CLO to Close,18.55,"06/11/2026, 4:00:03 PM",900001004
MSFT,Filled,10 @ 390.34,Buy 10 Shares @ Market CLO to Open,38.39,"06/11/2026, 4:00:02 PM",900001004
COPJ,Filled,25 @ 40.87,Sell 25 Shares @ Market CLO to Close,3.7,"06/11/2026, 4:00:02 PM",900001004
GDMN,Filled,40 @ 78.45,Sell 40 Shares @ Market CLO to Close,6.969,"06/11/2026, 4:00:02 PM",900001004
IAUM,Filled,75 @ 41.92,Sell 75 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
IAUM,Filled,45 @ 41.92,Sell 45 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
GRNJ,Filled,150 @ 31.12,Sell 150 Shares @ Market CLO to Close,--,"06/11/2026, 4:00:01 PM",900001004
BRK.B,Filled,20 @ 482.18,Buy 20 Shares @ Market to Open,--,"06/11/2026, 10:29:51 AM",900001004
EMEQ,Filled,50 @ 64.38,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:27:41 AM",900001004
EAT,Filled,15 @ 153.45,Sell 15 Shares @ 15.345 Limit to Close,--,"06/11/2026, 10:09:38 AM",900001004
EWY,Filled,20 @ 188.15,Buy 20 Shares @ Market to Open,--,"06/11/2026, 10:07:53 AM",900001004
AMZN,Filled,9 @ 237.88,Buy 9 Shares @ Market to Open,--,"06/11/2026, 10:06:21 AM",900001004
SHLD,Filled,50 @ 63.77,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:05:34 AM",900001004
VGSH,Filled,800 @ 58.11,Buy 800 Shares @ Market to Open,--,"06/11/2026, 10:04:35 AM",900001004
SHLD,Filled,15 @ 63.73,Sell 15 Shares @ Market to Close,--,"06/11/2026, 10:03:27 AM",900001004
SPMO,Filled,25 @ 147.33,Sell 25 Shares @ Market to Close,--,"06/11/2026, 10:02:56 AM",900001004
GRNY,Filled,200 @ 26.66,Sell 200 Shares @ Market to Close,--,"06/11/2026, 10:02:34 AM",900001004
GRNY,Canceled,--,Sell 300 Shares @ 2.799 Limit GTC to Close,--,"06/11/2026, 10:02:15 AM",900001004
GRNY,Filled,50 @ 26.66,Sell 50 Shares @ Market to Close,--,"06/11/2026, 10:01:44 AM",900001004
AMZN,Filled,20 @ 237.87,Sell 20 Shares @ Market to Close,--,"06/11/2026, 10:01:03 AM",900001004
SHLD,Filled,30 @ 63.84,Sell 30 Shares @ Market to Close,--,"06/11/2026, 9:59:24 AM",900001004
LITE,Filled,5 @ 877.51,Sell 5 Shares @ Market to Close,--,"06/11/2026, 9:58:06 AM",900001004
BE,Filled,23 @ 243.66,Sell 23 Shares @ Market to Close,--,"06/11/2026, 9:57:49 AM",900001004
STRL,Filled,5 @ 817.99,Sell 5 Shares @ 81.799 Limit to Close,--,"06/11/2026, 9:56:57 AM",900001004
CRDO,Filled,10 @ 258.50,Sell 10 Shares @ Market to Close,--,"06/11/2026, 9:56:20 AM",900001004
IAUM,Filled,100 @ 40.60,Buy 100 Shares @ Market to Open,--,"06/11/2026, 9:30:10 AM",900001004
IBIT,Canceled,--,Buy 600 Shares @ 3.443 Limit GTC to Open,--,"06/11/2026, 9:23:46 AM",900001004
AMZN,Filled,10 @ 238.00,Sell 10 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
EMEQ,Filled,40 @ 62.15,Sell 40 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
LITE,Filled,13 @ 853.26,Sell 13 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
CRDO,Filled,62 @ 237.68,Sell 62 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:03 PM",900001004
PLTR,Filled,20 @ 130.21,Sell 20 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
EWY,Filled,15 @ 178.45,Sell 15 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
GRNJ,Filled,400 @ 29.82,Sell 400 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:02 PM",900001004
VOOV,Filled,10 @ 217.03,Sell 10 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
CGDV,Filled,240 @ 47.27,Sell 240 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SNDK,Filled,1 @ 1643.23,Sell 1 Share @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SPMO,Filled,50 @ 143.68,Sell 50 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
IWM,Filled,25 @ 282.05,Sell 25 Shares @ Market CLO to Close,--,"06/10/2026, 4:00:01 PM",900001004
SNDK,Canceled,--,Sell 1 Share @ Market CLO to Close,--,"06/10/2026, 10:13:46 AM",900001004
EMEQ,Canceled,--,Sell 40 Shares @ 7.654 Limit GTC to Close,--,"06/10/2026, 10:12:21 AM",900001004
VGSH,Filled,150 @ 58.11,Buy 150 Shares @ Market to Open,--,"06/10/2026, 10:10:10 AM",900001004
BE,Filled,5 @ 287.32,Buy 5 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:06 PM",900001004
EAT,Filled,25 @ 140.26,Sell 25 Shares @ Market CLO to Close,--,"06/03/2026, 4:00:06 PM",900001004
VGSH,Filled,30 @ 58.11,Buy 30 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
CRDO,Filled,12 @ 214.60,Buy 12 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
LITE,Filled,5 @ 938.00,Buy 5 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
PLTR,Filled,35 @ 142.20,Buy 35 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
CRDO,Filled,25 @ 214.60,Buy 25 Shares @ Market CLO to Open,--,"06/03/2026, 4:00:03 PM",900001004
MU,Filled,5 @ 1079.57,Sell 5 Shares @ Market CLO to Close,--,"06/03/2026, 4:00:03 PM",900001004
VOOV,Filled,4 @ 219.72,Buy 4 Shares @ Market to Open,--,"06/03/2026, 12:26:13 PM",900001004
IFRA,Filled,40 @ 61.58,Sell 40 Shares @ Market to Close,--,"06/03/2026, 12:25:04 PM",900001004
EAT,Filled,10 @ 139.23,Sell 10 Shares @ Market to Close,--,"06/03/2026, 12:23:35 PM",900001004
SPMO,Filled,25 @ 155.06,Sell 25 Shares @ Market to Close,--,"06/03/2026, 12:22:39 PM",900001004
BRK.B,Filled,3 @ 473.66,Sell 3 Shares @ Market to Close,--,"06/03/2026, 12:22:04 PM",900001004
VGSH,Filled,30 @ 58.09,Buy 30 Shares @ Market to Open,--,"06/03/2026, 12:21:18 PM",900001004
SNDK,Filled,2 @ 1796.58,Sell 2 Shares @ Market to Close,--,"06/03/2026, 12:18:51 PM",900001004
COPJ,Filled,25 @ 45.40,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:17:53 PM",900001004
MU,Filled,5 @ 1067.05,Sell 5 Shares @ Market to Close,--,"06/03/2026, 12:16:58 PM",900001004
MU,Canceled,--,Sell 5 Shares @ 108.91 Limit GTC to Close,--,"06/03/2026, 12:16:56 PM",900001004
IAUM,Filled,100 @ 44.23,Buy 100 Shares @ Market to Open,--,"06/03/2026, 12:14:19 PM",900001004
VT,Filled,25 @ 158.17,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:13:59 PM",900001004
VOOV,Filled,15 @ 219.89,Buy 15 Shares @ Market to Open,--,"06/03/2026, 12:13:07 PM",900001004
TTMI,Filled,20 @ 186.93,Sell 20 Shares @ Market to Close,--,"06/03/2026, 12:11:07 PM",900001004
TTMI,Filled,10 @ 186.83,Sell 10 Shares @ Market to Close,--,"06/03/2026, 12:10:50 PM",900001004
SNDK,Filled,2 @ 1792.47,Sell 2 Shares @ Market to Close,--,"06/03/2026, 12:10:30 PM",900001004
SNDK,Filled,1 @ 1791.03,Sell 1 Share @ Market to Close,--,"06/03/2026, 12:10:12 PM",900001004
STRL,Filled,5 @ 953.67,Sell 5 Shares @ Market to Close,--,"06/03/2026, 12:09:50 PM",900001004
MSFT,Filled,25 @ 426.63,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:09:26 PM",900001004
AMZN,Filled,25 @ 250.10,Buy 25 Shares @ Market to Open,--,"06/03/2026, 12:08:55 PM",900001004
LITE,Filled,5 @ 1039.99,Sell 5 Shares @ 103.999 Limit GTC to Close,--,"06/03/2026, 9:30:35 AM",900001004
STRL,Filled,1 @ 880.00,Sell 1 Share @ Market to Close,--,"06/03/2026, 9:30:24 AM",900001004
TTMI,Filled,10 @ 181.23,Sell 10 Shares @ 18.123 Limit GTC to Close,--,"06/03/2026, 9:30:24 AM",900001004
CRDO,Filled,7 @ 231.09,Sell 7 Shares @ 22.678 Limit GTC to Close,--,"06/03/2026, 9:30:23 AM",900001004
LITE,Filled,5 @ 1033.33,Sell 5 Shares @ 103.333 Limit GTC to Close,--,"06/03/2026, 9:30:07 AM",900001004
LITE,Filled,4 @ 1032.10,Sell 4 Shares @ 103.21 Limit GTC to Close,--,"06/03/2026, 9:30:07 AM",900001004
EWY,Filled,5 @ 205.96,Buy 5 Shares @ Market to Open,--,"05/29/2026, 3:43:06 PM",900001004
AMZN,Filled,15 @ 271.08,Buy 15 Shares @ 27.108 Limit to Open,--,"05/29/2026, 3:42:11 PM",900001004
LITE,Filled,4 @ 841.56,Buy 4 Shares @ 84.168 Limit to Open,--,"05/29/2026, 3:41:44 PM",900001004
GRNJ,Filled,200 @ 31.94,Sell 200 Shares @ Market to Close,--,"05/29/2026, 3:40:51 PM",900001004
VT,Filled,15 @ 158.21,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:40:18 PM",900001004
EMEQ,Filled,50 @ 67.77,Buy 50 Shares @ Market to Open,--,"05/29/2026, 3:39:32 PM",900001004
BRK.B,Filled,3 @ 476.08,Buy 3 Shares @ Market to Open,--,"05/29/2026, 3:39:04 PM",900001004
AMZN,Filled,7 @ 271.25,Buy 7 Shares @ Market to Open,--,"05/29/2026, 3:38:41 PM",900001004
GM,Filled,25 @ 83.44,Buy 25 Shares @ Market to Open,--,"05/29/2026, 3:38:14 PM",900001004
VTI,Filled,15 @ 372.81,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:37:50 PM",900001004
BE,Filled,7 @ 278.70,Buy 7 Shares @ Market to Open,--,"05/29/2026, 3:37:20 PM",900001004
TTMI,Filled,10 @ 175.80,Buy 10 Shares @ Market to Open,--,"05/29/2026, 3:37:00 PM",900001004
CRDO,Filled,20 @ 231.51,Sell 20 Shares @ Market to Close,--,"05/29/2026, 3:36:05 PM",900001004
PLTR,Filled,15 @ 156.61,Sell 15 Shares @ Market to Close,--,"05/29/2026, 3:35:43 PM",900001004
STRL,Filled,1 @ 779.39,Buy 1 Share @ Market to Open,--,"05/27/2026, 10:46:13 AM",900001004
IAUM,Filled,75 @ 44.27,Buy 75 Shares @ Market to Open,--,"05/27/2026, 10:45:42 AM",900001004
SPMO,Filled,25 @ 148.80,Buy 25 Shares @ Market to Open,--,"05/27/2026, 10:44:45 AM",900001004
EWY,Filled,10 @ 197.03,Buy 10 Shares @ Market to Open,--,"05/27/2026, 10:44:25 AM",900001004
INCY,Filled,30 @ 98.16,Sell 30 Shares @ Market to Close,--,"05/27/2026, 10:43:07 AM",900001004
BE,Filled,10 @ 291.98,Buy 10 Shares @ Market to Open,--,"05/27/2026, 10:42:27 AM",900001004
TTMI,Filled,20 @ 181.53,Buy 20 Shares @ Market to Open,--,"05/27/2026, 10:42:00 AM",900001004
MU,Filled,2 @ 895.88,Sell 2 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:03 PM",900001004
MU,Filled,5 @ 895.88,Sell 5 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:03 PM",900001004
COPJ,Filled,50 @ 44.35,Sell 50 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:02 PM",900001004
SNDK,Filled,3 @ 1589.55,Sell 3 Shares @ Market CLO to Close,--,"05/26/2026, 4:00:01 PM",900001004
PLTR,Filled,15 @ 136.60,Buy 15 Shares @ Market CLO to Open,--,"05/26/2026, 4:00:01 PM",900001004
VOOV,Filled,4 @ 219.91,Buy 4 Shares @ 21.992 Limit to Open,--,"05/26/2026, 3:13:50 PM",900001004
LITE,Filled,3 @ 905.48,Buy 3 Shares @ Market to Open,--,"05/26/2026, 3:13:10 PM",900001004
AMZN,Filled,15 @ 263.17,Buy 15 Shares @ Market to Open,--,"05/26/2026, 3:12:45 PM",900001004
GM,Filled,15 @ 79.53,Sell 15 Shares @ Market to Close,--,"05/26/2026, 3:12:03 PM",900001004
GRNJ,Filled,200 @ 31.29,Sell 200 Shares @ Market to Close,--,"05/26/2026, 3:11:24 PM",900001004
BE,Filled,7 @ 302.40,Buy 7 Shares @ Market to Open,--,"05/26/2026, 3:08:04 PM",900001004
EWY,Filled,7 @ 200.15,Sell 7 Shares @ Market to Close,--,"05/26/2026, 3:07:15 PM",900001004
TTMI,Filled,15 @ 196.93,Sell 15 Shares @ Market to Close,--,"05/26/2026, 3:03:18 PM",900001004
GDMN,Canceled,--,Sell 40 Shares @ Market CLO to Close,--,"05/26/2026, 2:54:04 PM",900001004
IAUM,Canceled,--,Sell 45 Shares @ Market CLO to Close,--,"05/26/2026, 2:53:50 PM",900001004
EAT,Canceled,--,Sell 50 Shares @ Market CLO to Close,--,"05/26/2026, 2:53:35 PM",900001004
EWY,Filled,7 @ 182.03,Buy 7 Shares @ Market CLO to Open,--,"05/22/2026, 4:00:01 PM",900001004
BE,Filled,2 @ 303.39,Buy 2 Shares @ Market to Open,--,"05/22/2026, 3:29:29 PM",900001004
GDE,Filled,35 @ 67.92,Buy 35 Shares @ 6.808 Limit to Open,--,"05/22/2026, 3:28:54 PM",900001004
SNDK,Filled,3 @ 1493.79,Buy 3 Shares @ Market to Open,--,"05/22/2026, 3:25:37 PM",900001004
TTMI,Filled,50 @ 173.99,Sell 50 Shares @ 17.399 Limit GTC to Close,--,"05/21/2026, 9:44:46 AM",900001004
TTMI,Canceled,--,Sell 25 Shares @ Market CLO to Close,--,"05/20/2026, 3:41:56 PM",900001004
SNDK,Filled,2 @ 1382.34,Buy 2 Shares @ Market to Open,--,"05/20/2026, 10:28:11 AM",900001004
CRDO,Filled,15 @ 179.24,Sell 15 Shares @ Market to Close,--,"05/20/2026, 10:27:21 AM",900001004
GRNJ,Filled,50 @ 30.42,Buy 50 Shares @ Market to Open,--,"05/15/2026, 10:51:23 AM",900001004
GRNY,Filled,50 @ 26.83,Buy 50 Shares @ Market to Open,--,"05/15/2026, 10:50:56 AM",900001004
EWY,Filled,15 @ 178.91,Buy 15 Shares @ Market to Open,--,"05/15/2026, 10:50:27 AM",900001004
BE,Filled,7 @ 280.22,Buy 7 Shares @ Market to Open,--,"05/15/2026, 10:49:07 AM",900001004
EMEQ,Filled,90 @ 62.27,Buy 90 Shares @ Market to Open,--,"05/15/2026, 10:48:22 AM",900001004
VOOV,Filled,13 @ 216.42,Sell 13 Shares @ Market to Close,--,"05/15/2026, 10:47:43 AM",900001004
VTIP,Filled,100 @ 50.37,Sell 100 Shares @ Market to Close,--,"05/15/2026, 10:46:52 AM",900001004
SNDK,Filled,2 @ 1383.37,Sell 2 Shares @ Market to Close,--,"05/15/2026, 10:46:33 AM",900001004
BRK.B,Filled,7 @ 485.99,Sell 7 Shares @ Market to Close,--,"05/15/2026, 10:45:54 AM",900001004
BE,Filled,2 @ 280.69,Buy 2 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:06 PM",900001004
CRDO,Filled,20 @ 198.57,Buy 20 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:04 PM",900001004
LITE,Filled,5 @ 992.37,Buy 5 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:04 PM",900001004
SNDK,Filled,1 @ 1452.02,Buy 1 Share @ Market CLO to Open,--,"05/12/2026, 4:00:02 PM",900001004
GRNJ,Filled,100 @ 30.64,Buy 100 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:01 PM",900001004
IWM,Filled,7 @ 282.57,Buy 7 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
VTI,Filled,7 @ 362.79,Buy 7 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
SPMO,Filled,25 @ 144.45,Buy 25 Shares @ Market CLO to Open,--,"05/12/2026, 4:00:00 PM",900001004
BE,Canceled,--,Buy 1 Share @ Market CLO to Open,--,"05/12/2026, 12:46:25 PM",900001004
LITE,Filled,3 @ 998.76,Sell 3 Shares @ 99.876 Limit GTC to Close,--,"05/11/2026, 9:33:06 AM",900001004
SNDK,Filled,3 @ 1599.99,Sell 3 Shares @ 159.999 Limit GTC to Close,--,"05/11/2026, 9:32:26 AM",900001004
INCY,Filled,10 @ 99.99,Sell 10 Shares @ 9.999 Limit GTC to Close,--,"05/11/2026, 9:30:31 AM",900001004
BRK.B,Filled,20 @ 477.77,Sell 20 Shares @ 47.777 Limit GTC to Close,--,"05/11/2026, 9:30:23 AM",900001004
VTIP,Filled,50 @ 50.41,Sell 50 Shares @ 5.041 Limit GTC to Close,--,"05/11/2026, 9:30:15 AM",900001004
LITE,Filled,5 @ 894.30,Buy 5 Shares @ Market to Open,--,"05/08/2026, 2:33:05 PM",900001004
SHLD,Filled,30 @ 65.28,Buy 30 Shares @ Market to Open,--,"05/08/2026, 2:32:00 PM",900001004
IFRA,Filled,50 @ 61.49,Buy 50 Shares @ 6.149 Limit to Open,--,"05/08/2026, 2:31:38 PM",900001004
CRDO,Filled,20 @ 199.99,Sell 20 Shares @ 19.999 Limit GTC to Close,--,"05/07/2026, 10:28:33 AM",900001004
GDE,Filled,50 @ 69.98,Sell 50 Shares @ 6.988 Limit GTC to Close,--,"05/07/2026, 9:30:01 AM",900001004
GDE,Filled,35 @ 69.98,Sell 35 Shares @ 6.988 Limit GTC to Close,--,"05/07/2026, 9:30:01 AM",900001004
PLTR,Filled,40 @ 135.99,Buy 40 Shares @ 13.599 Limit to Open,--,"05/05/2026, 12:01:44 PM",900001004
PLTR,Canceled,--,Buy 40 Shares @ 13.625 Limit to Open,--,"05/05/2026, 11:57:11 AM",900001004
VTI,Filled,15 @ 354.32,Sell 15 Shares @ 35.432 Limit GTC to Close,--,"04/30/2026, 3:06:42 PM",900001004
BE,Filled,3 @ 276.12,Buy 3 Shares @ Market to Open,--,"04/30/2026, 10:59:04 AM",900001004
BRK.B,Filled,7 @ 475.69,Buy 7 Shares @ Market to Open,--,"04/30/2026, 10:58:38 AM",900001004
CRDO,Filled,20 @ 172.11,Buy 20 Shares @ Market to Open,--,"04/30/2026, 10:57:37 AM",900001004
MU,Filled,7 @ 511.21,Buy 7 Shares @ Market to Open,--,"04/30/2026, 10:57:17 AM",900001004
AMZN,Filled,15 @ 259.70,Buy 15 Shares @ Market to Open,--,"04/30/2026, 10:56:58 AM",900001004
IFRA,Filled,54 @ 61.99,Sell 54 Shares @ 6.199 Limit GTC to Close,--,"04/30/2026, 10:15:56 AM",900001004
TTMI,Filled,20 @ 180.00,Sell 20 Shares @ 15.555 Limit GTC to Close,--,"04/30/2026, 9:30:25 AM",900001004
AMZN,Filled,10 @ 273.02,Sell 10 Shares @ 26.999 Limit GTC to Close,--,"04/30/2026, 9:30:25 AM",900001004
EAT,Filled,15 @ 149.99,Sell 15 Shares @ 14.999 Limit GTC to Close,--,"04/29/2026, 2:46:08 PM",900001004
INCY,Filled,30 @ 99.99,Sell 30 Shares @ 9.999 Limit GTC to Close,--,"04/29/2026, 9:32:39 AM",900001004
CRDO,Filled,7 @ 177.74,Buy 7 Shares @ Market to Open,--,"04/27/2026, 12:46:01 PM",900001004
VTIP,Filled,40 @ 50.37,Buy 40 Shares @ Market to Open,--,"04/27/2026, 12:44:10 PM",900001004
INCY,Canceled,--,Sell 35 Shares @ 9.999 Limit GTC to Close,--,"04/27/2026, 12:43:19 PM",900001004
INCY,Filled,35 @ 96.30,Sell 35 Shares @ Market to Close,--,"04/27/2026, 12:43:17 PM",900001004
AMZN,Filled,3 @ 262.84,Buy 3 Shares @ Market to Open,--,"04/27/2026, 12:42:25 PM",900001004
GDMN,Filled,15 @ 101.58,Buy 15 Shares @ Market to Open,--,"04/27/2026, 12:35:53 PM",900001004
LITE,Filled,3 @ 844.27,Buy 3 Shares @ Market to Open,--,"04/27/2026, 12:35:24 PM",900001004
CRDO,Filled,15 @ 177.35,Buy 15 Shares @ Market to Open,--,"04/27/2026, 12:34:42 PM",900001004
STRL,Filled,10 @ 505.55,Sell 10 Shares @ 50.555 Limit GTC to Close,--,"04/27/2026, 9:35:13 AM",900001004
MU,Filled,5 @ 511.76,Sell 5 Shares @ 49.999 Limit GTC to Close,--,"04/27/2026, 9:30:40 AM",900001004
IWM,Filled,6 @ 276.84,Buy 6 Shares @ Market to Open,--,"04/27/2026, 9:30:01 AM",900001004
IFRA,Filled,1 @ 61.28,Sell 1 Share @ Market to Close,--,"04/27/2026, 9:30:01 AM",900001004
SHLD,Filled,25 @ 72.88,Buy 25 Shares @ Market to Open,--,"04/20/2026, 3:37:28 PM",900001004
GDMN,Filled,30 @ 110.66,Buy 30 Shares @ Market to Open,--,"04/20/2026, 3:36:20 PM",900001004
CRDO,Filled,40 @ 171.08,Sell 40 Shares @ Market to Close,--,"04/20/2026, 3:35:33 PM",900001004
VTIP,Filled,65 @ 50.17,Buy 65 Shares @ Market to Open,--,"04/20/2026, 3:34:53 PM",900001004
TTMI,Filled,20 @ 125.70,Sell 20 Shares @ Market to Close,--,"04/20/2026, 3:33:58 PM",900001004
IWM,Filled,25 @ 277.31,Buy 25 Shares @ Market to Open,--,"04/20/2026, 3:33:23 PM",900001004
