"Account 900001004 Positions, as of 07/01/26 at 07:37 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    10  06/11/2026,10,06/11/2026,Short term,39.034,--,--,38.428,1.126,39.034,11.26,-6.06,384.28,38.395,38.399,--
    10  06/17/2026,10,06/17/2026,Short term,38.765,--,--,38.428,1.126,38.765,11.26,-3.37,384.28,38.395,38.399,--
    15  06/29/2026,15,06/29/2026,Short term,36.85,--,--,38.428,1.126,36.85,16.89,23.67,576.42,38.395,38.399,--
    PLTR +55 Shares (2 lots),55,05/05/2026,Short term,13.9941818,12.573,0.906,12.573,0.906,13.9941818,49.83,-78.164999,691.515,12.504,12.522,2026-08-03
    20  05/05/2026,20,05/05/2026,Short term,13.599,--,--,12.573,0.906,13.599,18.12,-20.52,251.46,12.504,12.522,--
    35  06/03/2026,35,06/03/2026,Short term,14.22,--,--,12.573,0.906,14.22,31.71,-57.645,440.055,12.504,12.522,--
    SCHP +300 Shares (1 lot),300,04/16/2026,Short term,2.67699,2.624,-0.0039,2.624,-0.0039,2.67699,-1.17,-15.897,787.2,2.624,2.654,--
    300  04/16/2026,300,04/16/2026,Short term,2.67699,--,--,2.624,-0.0039,2.67699,-1.17,-15.897,787.2,2.624,2.654,--
    SHLD +115 Shares (3 lots),115,04/09/2026,Short term,7.4017113,6.12,0.149,6.12,0.149,7.4017113,17.135,-147.3967995,703.8,6.1,6.206,2018-11-30
    50  04/09/2026,50,04/09/2026,Short term,7.43692,--,--,6.12,0.149,7.43692,7.45,-65.846,306,6.1,6.206,--
    40  04/14/2026,40,04/14/2026,Short term,7.42877,--,--,6.12,0.149,7.42877,5.96,-52.3508,244.8,6.1,6.206,--
    25  04/20/2026,25,04/20/2026,Short term,7.288,--,--,6.12,0.149,7.288,3.725,-29.2,153,6.1,6.206,--
    SPCX +75 Shares (2 lots),75,06/17/2026,Short term,19.5048333,15.754,-1.332,15.754,-1.332,19.5048333,-99.9,-281.3124975,1181.55,15.769,15.784,--
    25  06/17/2026,25,06/17/2026,Short term,19.3805,--,--,15.754,-1.332,19.3805,-33.3,-90.6625,393.85,15.769,15.784,--
    50  06/17/2026,50,06/17/2026,Short term,19.567,--,--,15.754,-1.332,19.567,-66.6,-190.65,787.7,15.769,15.784,--
    SPMO +65 Shares (2 lots),65,06/12/2026,Short term,15.1743846,15.532,-0.622,15.532,-0.622,15.1743846,-40.43,23.245001,1009.58,15.525,15.567,--
    50  06/12/2026,50,06/12/2026,Short term,15.029,--,--,15.532,-0.622,15.029,-31.1,25.15,776.6,15.525,15.567,--
    15  06/26/2026,15,06/26/2026,Short term,15.659,--,--,15.532,-0.622,15.659,-9.33,-1.905,232.98,15.525,15.567,--
    VGSH +1305 Shares (6 lots),1305,06/03/2026,Short term,5.8138546,5.802,-0.0002,5.802,-0.0002,5.8138546,-0.261,-15.470253,7571.61,5.801,5.804,--
    30  06/03/2026,30,06/03/2026,Short term,5.8095,--,--,5.802,-0.0002,5.8095,-0.006,-0.225,174.06,5.801,5.804,--
    30  06/03/2026,30,06/03/2026,Short term,5.811,--,--,5.802,-0.0002,5.811,-0.006,-0.27,174.06,5.801,5.804,--
    150  06/10/2026,150,06/10/2026,Short term,5.8109933,--,--,5.802,-0.0002,5.8109933,-0.03,-1.348995,870.3,5.801,5.804,--
    800  06/11/2026,800,06/11/2026,Short term,5.81095,--,--,5.802,-0.0002,5.81095,-0.16,-7.16,4641.6,5.801,5.804,--
    175  06/15/2026,175,06/15/2026,Short term,5.8225,--,--,5.802,-0.0002,5.8225,-0.035,-3.5875,1015.35,5.801,5.804,--
    120  06/26/2026,120,06/26/2026,Short term,5.82599,--,--,5.802,-0.0002,5.82599,-0.024,-2.8788,696.24,5.801,5.804,--
    VOOV +23 Shares (3 lots),23,05/26/2026,Short term,21.9863913,21.991,0.07,21.991,0.07,21.9863913,1.61,0.1060001,505.793,21.922,22.054,--
    4  05/26/2026,4,05/26/2026,Short term,21.991,--,--,21.991,0.07,21.991,0.28,--,87.964,21.922,22.054,--
    15  06/03/2026,15,06/03/2026,Short term,21.989,--,--,21.991,0.07,21.989,1.05,0.03,329.865,21.922,22.054,--
    4  06/03/2026,4,06/03/2026,Short term,21.972,--,--,21.991,0.07,21.972,0.28,0.076,87.964,21.922,22.054,--
    VT +35 Shares (2 lots),35,01/26/2026,Short term,15.4649,15.612,-0.083,15.612,-0.083,15.4649,-2.905,5.1485,546.42,15.616,15.698,--
    10  01/26/2026,10,01/26/2026,Short term,14.5849,--,--,15.612,-0.083,14.5849,-0.83,10.271,156.12,15.616,15.698,--
    25  06/03/2026,25,06/03/2026,Short term,15.8169,--,--,15.612,-0.083,15.8169,-2.075,-5.1225,390.3,15.616,15.698,--
    VTIP +105 Shares (2 lots),105,04/20/2026,Short term,5.024919,4.952,-0.003,4.952,-0.003,5.024919,-0.315,-7.656495,519.96,4.952,4.959,--
    65  04/20/2026,65,04/20/2026,Short term,5.0175,--,--,4.952,-0.003,5.0175,-0.195,-4.2575,321.88,4.952,4.959,--
    40  04/27/2026,40,04/27/2026,Short term,5.036975,--,--,4.952,-0.003,5.036975,-0.12,-3.399,198.08,4.952,4.959,--
Portfolio Analysis,--,--,--,--,--,--,--,--,--,23.538,-1251.7156923,34890.555,--,--,--
Cash on Deposit: $27.195,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
