"Account All Accounts - 3 accounts Positions, as of 06/14/26 at 08:49 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    PPLT +70 Shares (1 lot),70,11/11/2025,Short term,1.4420571429,1.554,-0.009,1.554,-0.009,1.4420571429,-0.63,7.836,108.78,1.551,1.57,--
    PSTL +200 Shares (1 lot),200,06/05/2026,Short term,2.27146,2.389,0.03,2.389,0.03,2.27146,6,23.508,477.8,2.3,2.45,2026-08-03
    SHLD +300 Shares (1 lot),300,04/04/2025,Long term,4.401,6.382,-0.133,6.382,-0.133,4.401,-39.9,594.3,1914.6,6.39,6.5,2018-11-30
    SLV +70 Shares (3 lots),70,10/17/2025,Short term,5.9709285714,6.129,0.047,6.129,0.047,5.9709285714,3.29,11.065,429.03,6.145,6.15,--
    SPMO +235 Shares (3 lots),235,04/16/2026,Short term,14.4162978723,15.248,0.19,15.248,0.19,14.4162978723,47.85,195.45,3583.28,15.268,15.3,--
    SYF +50 Shares (1 lot),50,09/16/2024,Long term,4.70876,7.336,0.103,7.336,0.103,4.70876,5.15,131.362,366.8,6.9,7.4,2026-07-21
    TSLA +20 Shares (1 lot),20,04/16/2026,Short term,38.299,40.643,0.728,40.643,0.728,38.299,14.56,46.88,812.86,40.6,40.61,2026-07-22
Traditional IRA - x1001,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
    AEM +40 Shares (2 lots),40,06/09/2026,Short term,15.40925,16.264,0.488,16.264,0.488,15.40925,19.52,34.19,650.56,16.264,16.35,2026-07-29
    AGX +8 Shares (2 lots),8,05/07/2026,Short term,67.167625,64.168,1.802,64.168,1.802,67.167625,14.416,-23.997,513.344,63,65.243,2026-09-03
    AMD +5 Shares (1 lot),5,06/04/2026,Short term,52.32,51.157,2.312,51.157,2.312,52.32,11.56,-5.815,255.785,51.45,51.5,2026-08-04
    AMZN +185 Shares (11 lots),185,04/30/2026,Short term,25.8519891892,23.855,-0.296,23.855,-0.296,25.8519891892,-54.76,-369.443,4413.175,23.865,23.867,2026-07-30
    APP +12 Shares (2 lots),12,06/10/2026,Short term,49.5115,49.677,1.82,49.677,1.82,49.5115,21.84,1.986,596.124,49.5,49.667,2026-08-06
    ARE +700 Shares (9 lots),700,10/13/2025,Short term,5.4361435714,5.317,0.04,5.317,0.04,5.4361435714,28,-83.4005,3721.9,5.155,5.388,2026-08-03
    ARKX +300 Shares (1 lot),300,06/12/2026,Short term,3.404,3.378,-0.067,3.378,-0.067,3.404,-7.8,-7.8,1013.4,3.381,3.394,--
    ASML +2 Shares (1 lot),2,06/10/2026,Short term,180.7745,186.355,-3.593,186.355,-3.593,180.7745,-7.186,11.161,372.71,186,186.355,2026-07-15
    AUGO +165 Shares (6 lots),165,04/20/2026,Short term,9.2487454545,6.089,0.431,6.089,0.431,9.2487454545,71.115,-521.358,1004.685,6.089,6.177,2026-08-05
    B +220 Shares (4 lots),220,01/02/2026,Short term,4.6349625,4.02,0.11,4.02,0.11,4.6349625,24.2,-135.29175,884.4,4.004,4.025,2026-08-11
    BE +20 Shares (2 lots),20,06/03/2026,Short term,29.05655,26.022,1.134,26.022,1.134,29.05655,22.68,-60.691,520.44,26.14,26.27,2026-07-30
    BLOX +750 Shares (5 lots),750,05/15/2026,Short term,1.7582966667,1.659,0.0391,1.659,0.0391,1.7582966667,29.325,-74.4725,1244.25,1.65,1.697,--
    BRK.B +55 Shares (8 lots),55,10/08/2025,Short term,48.8164545455,48.925,0.346,48.925,0.346,48.8164545455,19.03,5.97,2690.875,48.91,48.95,2026-08-01
    BTG +3445 Shares (2 lots),3445,06/05/2026,Short term,0.4174658926,0.421,0.012,0.421,0.012,0.4174658926,41.34,12.175,1450.345,0.423,0.424,2026-08-06
    BVN +200 Shares (2 lots),200,04/10/2026,Short term,3.24925,3.342,0.066,3.342,0.066,3.24925,13.2,18.55,668.4,3.331,3.48,2026-07-23
    CCL +300 Shares (2 lots),300,09/19/2025,Short term,2.9796266667,2.918,0.106,2.918,0.106,2.9796266667,31.8,-18.488,875.4,2.91,2.914,2026-06-23
    CDE +625 Shares (6 lots),625,10/20/2025,Short term,2.2752,1.72,0.08,1.72,0.08,2.2752,50,-347,1075,1.726,1.728,2026-08-05
    CLS +27 Shares (3 lots),27,05/04/2026,Short term,42.3341111111,39.312,0.726,39.312,0.726,42.3341111111,19.602,-81.597,1061.424,39.5,39.628,2026-07-27
    CNC +110 Shares (3 lots),110,06/08/2026,Short term,6.4972727273,6.519,0.165,6.519,0.165,6.4972727273,18.15,2.39,717.09,6.46,6.519,2026-07-28
    CNSWF +10 Shares (1 lot),10,05/27/2026,Short term,193.789,209,-10.0435,209,-10.0435,193.8088,-100.435,151.912,2090,208.812,209.646,--
    COPJ +375 Shares (6 lots),375,01/27/2026,Short term,4.433276,4.253,0.166,4.253,0.166,4.433276,42.251,-67.6035,1594.875,3.8,4.6,--
    CRDO +165 Shares (5 lots),165,06/12/2026,Short term,25.2170454545,25.081,-1.395,25.081,-1.395,25.2170454545,-22.4475,-22.4475,4138.365,25.129,25.2,2026-09-02
    CRM +110 Shares (4 lots),110,06/03/2026,Short term,18.2071318182,16.589,-0.056,16.589,-0.056,18.2071318182,-6.16,-177.9945,1824.79,16.566,16.615,2026-09-02
    CRWD +2 Shares (1 lot),2,06/05/2026,Short term,69.1205,68.28,-0.873,68.28,-0.873,69.1205,-1.746,-1.681,136.56,68.2,68.35,2026-09-01
    CRWV +80 Shares (4 lots),80,05/13/2026,Short term,11.1293125,10.055,0.481,10.055,0.481,11.1293125,16.13,-85.945,804.4,10.215,10.225,2026-08-12
    CSTM +250 Shares (3 lots),250,05/14/2026,Short term,3.330908,3.56,0.085,3.56,0.085,3.330908,21.25,57.273,890,3.5,3.66,2026-07-28
    DDOG +10 Shares (1 lot),10,06/03/2026,Short term,25.943,22.99,-0.434,22.99,-0.434,25.943,-4.34,-29.53,229.9,22.8,23,2026-08-06
    DRH +1425 Shares (5 lots),1425,05/12/2026,Short term,1.1501754386,1.192,0.008,1.192,0.008,1.1501754386,11.4,59.6,1698.6,1.183,1.196,2026-08-06
    DY +18 Shares (2 lots),18,05/29/2026,Short term,50.2725277778,46.9,0.443,46.9,0.443,50.2725277778,7.974,-60.7055,844.2,46.565,51.5,2026-08-26
    EAT +40 Shares (1 lot),40,07/02/2025,Short term,18.2145,15.932,0.059,15.932,0.059,18.2145,2.36,-91.3,637.28,15.901,16.015,2026-08-12
    EMEQ +135 Shares (3 lots),135,05/14/2026,Short term,6.6084074074,6.839,0.0551,6.839,0.0551,6.6084074074,7.4385,31.13,923.265,6.007,10.287,--
    EPR +150 Shares (2 lots),150,06/08/2026,Short term,5.8795,5.985,0.069,5.985,0.069,5.8795,10.35,15.825,897.75,5.965,6.032,2026-07-29
    ET +1495 Shares (11 lots),1495,05/01/2026,Short term,1.9651065217,1.907,0.031,1.907,0.031,1.9651065217,46.345,-86.86925,2850.965,1.905,1.908,2026-08-05
    ETH +523 Shares (3 lots),523,08/14/2025,Short term,3.3450248566,1.583,-0.015,1.583,-0.015,3.3450248566,-7.845,-921.539,827.909,1.555,1.625,2021-10-28
    EWY +55 Shares (4 lots),55,06/02/2026,Short term,20.9225818182,19.745,-0.149,19.745,-0.149,20.9225818182,-8.195,-64.767,1085.975,19.78,19.894,--
    EZPW +800 Shares (9 lots),800,05/07/2026,Short term,3.17679,3.125,0.05,3.125,0.05,3.17679,40,-41.432,2500,3.01,3.17,2026-07-29
    FMX +25 Shares (1 lot),25,06/10/2026,Short term,12.288,12.937,0.101,12.937,0.101,12.288,2.525,16.225,323.425,10,13.151,2026-07-28
    FN +10 Shares (2 lots),10,06/11/2026,Short term,58.917,61.101,2.877,61.101,2.877,58.917,28.77,21.84,611.01,60.2,61.285,2026-08-17
    FRCB +376 Shares (3 lots),376,08/14/2017,Long term,1.7655638298,0.000145,0.000075,0.000145,0.000075,1.7655638298,0.0282,-663.79748,0.05452,0,0,2023-07-27
    GDE +80 Shares (2 lots),80,02/24/2026,Short term,7.0324875,6.357,0.042,6.357,0.042,7.0324875,3.36,-54.039,508.56,5.7,7.6,--
    GDMN +400 Shares (5 lots),400,06/12/2026,Short term,8.02335,8.021,0.166,8.021,0.166,8.02335,-0.94,-0.94,3208.4,6.935,8.2,--
    GM +200 Shares (6 lots),200,06/02/2026,Short term,8.1775575,8.15,0.065,8.15,0.065,8.1775575,13,-5.5115,1630,8.11,8.15,2026-07-21
    GOOG +45 Shares (7 lots),45,05/29/2026,Short term,37.1388666667,35.816,0.16,35.816,0.16,37.1388666667,7.2,-59.529,1611.72,35.903,35.92,2026-07-23
    HHH +135 Shares (5 lots),135,10/08/2025,Short term,8.4053777778,6.686,0.02,6.686,0.02,8.4053777778,2.7,-232.116,902.61,6.646,6.736,2026-08-05
    IAUM +400 Shares (6 lots),400,03/02/2026,Short term,4.974875,4.196,0.004,4.196,0.004,4.974875,2.5,-311.55,1678.4,4.17,4.207,--
    IBIT +200 Shares (1 lot),200,06/12/2026,Short term,3.5875,3.604,-0.001,3.604,-0.001,3.5875,3.3,3.3,720.8,3.598,3.6,--
    ICHR +110 Shares (2 lots),110,06/11/2026,Short term,7.9782727273,8.68,0.276,8.68,0.276,7.9782727273,20.61,77.19,954.8,8.6,8.815,2026-08-04
    IGM +45 Shares (1 lot),45,06/02/2026,Short term,17.0108888889,15.936,0.109,15.936,0.109,17.0108888889,4.905,-48.37,717.12,15.825,16.105,--
    INCY +75 Shares (1 lot),75,06/10/2026,Short term,10.855,10.853,0.07,10.853,0.07,10.855,5.25,-0.15,813.975,10.5,10.95,2026-07-28
    INDV +325 Shares (4 lots),325,06/08/2026,Short term,3.8175753846,3.848,0.035,3.848,0.035,3.8175753846,11.375,9.888,1250.6,3.695,3.9,2026-08-06
    JAZZ +15 Shares (1 lot),15,06/08/2026,Short term,23.1895333333,23.056,-0.561,23.056,-0.561,23.1895333333,-8.415,-2.003,345.84,22.5,23.988,2026-08-04
    KGC +366 Shares (4 lots),366,01/21/2026,Short term,3.0917213115,2.558,0.072,2.558,0.072,3.0917213115,26.352,-195.342,936.228,2.558,2.566,2026-07-29
    LRN +30 Shares (1 lot),30,09/10/2025,Short term,16.36,9.771,-0.176,9.771,-0.176,16.36,-5.28,-197.67,293.13,9.24,10.231,2026-08-04
    MDLZ +15 Shares (1 lot),15,06/12/2026,Short term,6.332,6.299,-0.037,6.299,-0.037,6.332,-0.495,-0.495,94.485,6.249,6.308,2026-07-28
    MKOR +115 Shares (2 lots),115,05/27/2026,Short term,6.6350217391,6.70095,0.12095,6.70095,0.12095,6.6350217391,4.12175,7.58175,770.60925,4.001,99.999,--
    MLPI +305 Shares (7 lots),305,05/15/2026,Short term,5.6894721311,5.616,0.047,5.616,0.047,5.6894721311,14.335,-22.409,1712.88,5.566,5.64,--
    MRK +350 Shares (5 lots),350,02/18/2026,Short term,12.0220571429,11.905,-0.171,11.905,-0.171,12.0220571429,-54.269995,-40.97,4166.75,11.91,11.938,2026-08-04
    MSFT +130 Shares (17 lots),130,04/29/2026,Short term,41.7847846154,39.074,0.04,39.074,0.04,41.7847846154,8.05,-352.402,5079.62,39.06,39.07,2026-07-29
    MTZ +7 Shares (1 lot),7,06/11/2026,Short term,35.1115714286,36.297,0.447,36.297,0.447,35.1115714286,3.129,8.298,254.079,35.501,37,2026-07-30
    MXL +90 Shares (2 lots),90,06/05/2026,Short term,8.4690388889,8.446,0.337,8.446,0.337,8.4690388889,30.33,-2.0735,760.14,8.49,8.533,2026-07-22
    MYRG +25 Shares (2 lots),25,05/29/2026,Short term,46.323,44.572,2.064,44.572,2.064,46.323,51.6,-43.775,1114.3,40.5,49.304,2026-07-29
    NBIS +5 Shares (1 lot),5,06/08/2026,Short term,23.862,23.236,1.012,23.236,1.012,23.862,5.06,-3.13,116.18,23.583,23.585,2026-08-06
    NEM +90 Shares (3 lots),90,02/20/2026,Short term,11.7214111111,10.023,0.264,10.023,0.264,11.7214111111,23.76,-152.857,902.07,10.026,10.1,2026-07-23
    NEXA +900 Shares (4 lots),900,05/15/2026,Short term,1.5518933333,1.373,0.082,1.373,0.082,1.5518933333,73.8,-161.004,1235.7,1.375,1.387,2026-07-30
    NLCP +1200 Shares (3 lots),1200,05/29/2026,Short term,1.5302083333,1.535,0.009,1.535,0.009,1.5312741667,10.8,4.471,1842,1.526,1.535,2026-08-05
    NVDA +45 Shares (1 lot),45,06/03/2026,Short term,21.69,20.519,0.032,20.519,0.032,21.69,1.44,-52.695,923.355,20.542,20.544,2026-08-26
    PARR +338 Shares (7 lots),338,05/04/2026,Short term,6.105795858,5.582,0.044,5.582,0.044,6.105795858,14.872,-177.043,1886.716,5.45,5.678,2026-08-04
    PBR +375 Shares (3 lots),375,06/08/2026,Short term,1.8059053333,1.838,0.014,1.838,0.014,1.8059053333,5.25,12.0355,689.25,1.825,1.84,2026-08-06
    PINE +2995 Shares (10 lots),2995,04/30/2026,Short term,1.9647707813,2.015,0.04,2.015,0.04,1.9647707813,119.8,150.43651,6034.925,1.95,2.021,2026-07-23
    PLTR +180 Shares (4 lots),180,06/02/2026,Short term,15.2067944444,12.799,-0.309,12.799,-0.309,15.2067944444,-55.62,-433.403,2303.82,12.821,12.822,2026-08-03
    PM +5 Shares (1 lot),5,06/12/2026,Short term,18.1,18.43,0.353,18.43,0.353,18.1,1.65,1.65,92.15,18.168,18.58,2026-07-22
    PPLT +530 Shares (6 lots),530,01/15/2026,Short term,2.0556981132,1.554,-0.009,1.554,-0.009,2.0556981132,-4.77,-265.9,823.62,1.551,1.57,--
    PSIX +125 Shares (2 lots),125,06/11/2026,Short term,4.0092,4.072,0.014,4.072,0.014,4.0092,-5.425,7.85,509,4.053,4.179,2026-08-06
    PSTL +1050 Shares (12 lots),1050,03/05/2026,Short term,2.2629166667,2.389,0.03,2.389,0.03,2.2629166667,31.5,132.3875,2508.45,2.3,2.45,2026-08-03
    PSUS +970 Shares (10 lots),970,05/28/2026,Short term,3.8518953608,3.788,0.062,3.788,0.062,3.8518953608,60.14,-61.9785,3674.36,3.774,3.9,--
    REMX +120 Shares (6 lots),120,05/08/2026,Short term,9.7893333333,9.55,0.254,9.55,0.254,9.7893333333,30.48,-28.72,1146,9.525,9.63,--
    RTX +70 Shares (3 lots),70,05/29/2026,Short term,18.0205928571,18.353,-0.068,18.353,-0.068,18.0205928571,-4.76,23.2685,1284.71,18.276,18.4,2026-07-21
    SHLD +130 Shares (2 lots),130,04/10/2026,Short term,6.8652,6.382,-0.133,6.382,-0.133,6.8652,-17.29,-62.816,829.66,6.39,6.5,2018-11-30
    SIL +90 Shares (3 lots),90,01/28/2026,Short term,10.5026,8.168,0.259,8.168,0.259,10.5026,23.31,-210.114,735.12,8.175,8.238,--
    SIVR +140 Shares (3 lots),140,03/02/2026,Short term,8.3707892857,6.443,0.05,6.443,0.05,8.3707892857,7,-269.8905,902.02,6.441,6.466,--
    SLV +125 Shares (5 lots),125,03/02/2026,Short term,7.463832,6.129,0.047,6.129,0.047,7.463832,5.875,-166.854,766.125,6.145,6.15,--
    SMCI +350 Shares (4 lots),350,06/03/2026,Short term,3.51772,3.046,-0.151,3.046,-0.151,3.51772,-11.402003,-165.102,1066.1,3.082,3.085,2026-08-04
    SOXX +25 Shares (2 lots),25,06/08/2026,Short term,58.2034,59.625,0.932,59.625,0.932,58.2034,18.71,35.54,1490.625,59.98,60.055,--
    SPCX +150 Shares (2 lots),150,06/12/2026,Short term,16.4576666667,16.095,2.595,16.095,2.595,16.4576666667,-54.4,-54.4,2414.25,16.671,16.685,--
    SPMO +244 Shares (2 lots),244,06/12/2026,Short term,15.2090778689,15.248,0.19,15.248,0.19,15.2090778689,9.4969984,9.497,3720.512,15.268,15.3,--
    SSRM +700 Shares (4 lots),700,04/08/2026,Short term,3.3917235714,2.723,0.091,2.723,0.091,3.3917235714,63.7,-468.1065,1906.1,2.723,2.73,2026-08-04
    STRL +15 Shares (1 lot),15,06/08/2026,Short term,89.434,85.899,2.044,85.899,2.044,89.434,30.66,-53.025,1288.485,86.2,86.5,2026-08-03
    SYF +110 Shares (3 lots),110,09/10/2025,Short term,7.5827,7.336,0.103,7.336,0.103,7.5827,11.33,-27.137,806.96,6.9,7.4,2026-07-21
    THG +175 Shares (6 lots),175,06/08/2026,Short term,19.5966371429,19.765,0.253,19.765,0.253,19.5966371429,44.275,29.4635,3458.875,19.727,19.834,2026-07-29
    TIGO +50 Shares (1 lot),50,06/10/2026,Short term,8.96064,9.377,0.166,9.377,0.166,8.96064,8.3,20.818,468.85,9.379,9.501,2026-08-06
    TSLA +50 Shares (5 lots),50,01/15/2026,Short term,39.69896,40.643,0.728,40.643,0.728,39.69896,36.4,47.202,2032.15,40.6,40.61,2026-07-22
    TTMI +50 Shares (3 lots),50,05/28/2026,Short term,18.89596,19.405,0.684,19.405,0.684,18.89596,23.58,25.452,970.25,19.57,19.8,2026-07-29
    UBER +200 Shares (5 lots),200,07/15/2025,Short term,8.799465,6.885,-0.07,6.885,-0.07,8.799465,-14,-382.893,1377,6.882,6.886,2026-08-05
    UNFI +550 Shares (9 lots),550,05/20/2026,Short term,5.2115772727,5.039,0.053,5.039,0.053,5.2115772727,29.15,-94.9175,2771.45,4.915,5.318,2026-09-29
    UNH +125 Shares (4 lots),125,06/10/2026,Short term,40.69704,40.852,0.297,40.852,0.297,40.69704,25.87,19.37,5106.5,40.79,40.9,2026-07-16
    URA +110 Shares (4 lots),110,10/31/2025,Short term,5.4212863636,4.552,0.069,4.552,0.069,5.4212863636,7.59,-95.6215,500.72,4.563,4.59,--
    USAR +600 Shares (3 lots),600,06/08/2026,Short term,2.20196,2.199,-0.057,2.199,-0.057,2.20196,-34.2,-1.776,1319.4,2.2,2.204,2026-08-10
    USO +165 Shares (3 lots),165,06/09/2026,Short term,13.1861818182,12.543,-0.34,12.543,-0.34,13.1861818182,-56.1,-106.125,2069.595,12.545,12.55,--
    VGSH +100 Shares (1 lot),100,05/26/2026,Short term,5.82499,5.816,-0.002,5.816,-0.002,5.82499,-0.2,-0.899,581.6,5.816,5.825,--
    VRT +5 Shares (1 lot),5,05/14/2026,Short term,37.113,30.287,0.499,30.287,0.499,37.113,2.495,-34.13,151.435,30.36,30.48,2026-07-29
    VTIP +100 Shares (1 lot),100,05/27/2026,Short term,5.0335,5.035,-0.002,5.035,-0.002,5.0335,-0.2,0.15,503.5,5.03,5.046,--
    XOM +125 Shares (3 lots),125,06/10/2026,Short term,15.0982,14.701,0.041,14.701,0.041,15.0982,5.125,-49.65,1837.625,14.679,14.7,2026-07-31
Portfolio Analysis,--,--,--,--,--,--,--,--,--,1060.2269496,-2762.79882,164672.50377,--,--,--
"Cash on Deposit: $28,989.211",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
