"Account All Accounts - 3 accounts Positions, as of 06/16/26 at 07:58 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    BRK.B +53 Shares (8 lots),53,10/08/2025,Short term,49.0496801887,49.495,-0.057,49.495,-0.057,49.0496801887,-1.74705,23.60195,2623.235,49.49,49.502,2026-08-01
    BTG +3100 Shares (2 lots),3100,06/05/2026,Short term,0.4174064516,0.457,0.01,0.457,0.01,0.4174064516,31,122.74,1416.7,0.454,0.456,2026-08-06
    BVN +125 Shares (3 lots),125,04/10/2026,Short term,3.562928,3.596,0.11,3.596,0.11,3.562928,13.75,4.134,449.5,3.504,3.66,2026-07-23
    CCL +300 Shares (2 lots),300,09/19/2025,Short term,2.9796266667,3.09,0.078,3.09,0.078,2.9796266667,23.4,33.112,927,3.082,3.089,2026-06-23
    CDE +400 Shares (4 lots),400,01/29/2026,Short term,2.2189375,1.879,0.013,1.879,0.013,2.2189375,5.2,-135.975,751.6,1.88,1.895,2026-08-05
    CLS +27 Shares (3 lots),27,05/04/2026,Short term,42.3341111111,38.201,-2.144,38.201,-2.144,42.3341111111,-57.888,-111.594,1031.427,38.262,38.36,2026-07-27
    CNC +145 Shares (4 lots),145,06/08/2026,Short term,6.4600344828,6.139,-0.201,6.139,-0.201,6.4600344828,-29.145,-46.55,890.155,6.12,6.15,2026-07-28
    CNSWF +20 Shares (2 lots),20,05/27/2026,Short term,200.783,204.2524,-3.5406,204.2524,-3.5406,200.81765,-70.812,68.695,4085.048,0,0,--
    COPJ +300 Shares (5 lots),300,01/27/2026,Short term,4.4824,4.521,0.06,4.521,0.06,4.4824,18,11.58,1356.3,4.521,4.6,--
    CRDO +190 Shares (7 lots),190,06/12/2026,Short term,25.2341710526,23.918,-2.023,23.918,-2.023,25.2341710526,-364.14,-250.0725,4544.42,23.94,24,2026-09-02
    CRM +110 Shares (4 lots),110,06/03/2026,Short term,18.2071318182,16.171,-0.284,16.171,-0.284,18.2071318182,-31.24,-223.9745,1778.81,16.175,16.183,2026-09-02
    CRWD +7 Shares (2 lots),7,06/05/2026,Short term,68.2837142857,67.949,-1.342,67.949,-1.342,68.2837142857,-2.684,-2.343,475.643,68.013,68.088,2026-09-01
    CRWV +20 Shares (1 lot),20,06/03/2026,Short term,11.97,11.703,1.032,11.703,1.032,11.97,20.64,-5.34,234.06,11.714,11.73,2026-08-12
    CSTM +500 Shares (5 lots),500,05/14/2026,Short term,3.403148,3.418,-0.053,3.418,-0.053,3.403148,-26.5,7.426,1709,3.4,3.425,2026-07-28
    DDOG +15 Shares (2 lots),15,06/03/2026,Short term,25.0896666667,23.111,-0.198,23.111,-0.198,25.0896666667,-3.34,-29.68,346.665,22.93,23.1,2026-08-06
    DRH +1425 Shares (5 lots),1425,05/12/2026,Short term,1.1501754386,1.202,0.008,1.202,0.008,1.1501754386,11.4,73.85,1712.85,1.179,1.221,2026-08-06
    DY +13 Shares (1 lot),13,05/29/2026,Short term,50.9885,47.172,0.042,47.172,0.042,50.9885,0.546,-49.6145,613.236,46.802,51.569,2026-08-26
    EAT +40 Shares (1 lot),40,07/02/2025,Short term,18.2145,15.355,-0.269,15.355,-0.269,18.2145,-10.76,-114.38,614.2,14.807,16.333,2026-08-12
    EMEQ +100 Shares (2 lots),100,05/29/2026,Short term,6.639,7.01495,-0.1553,7.01495,-0.1553,6.639,-15.53,37.595,701.495,6.97,10.54,--
    EPR +150 Shares (2 lots),150,06/08/2026,Short term,5.8795,5.91,0.074,5.91,0.074,5.8795,11.1,4.575,886.5,5.728,6.148,2026-07-29
    ET +1495 Shares (11 lots),1495,05/01/2026,Short term,1.9651065217,1.891,--,1.891,0,1.9651065217,--,-110.78925,2827.045,1.885,1.891,2026-08-05
    ETH +523 Shares (3 lots),523,08/14/2025,Short term,3.3450248566,1.706,-0.025,1.706,-0.025,3.3450248566,-13.075,-857.21,892.238,1.698,1.712,2021-10-28
    EWY +45 Shares (4 lots),45,06/02/2026,Short term,21.0574888889,20.591,-0.554,20.591,-0.554,21.0574888889,-20.94,-20.992,926.595,20.6,20.632,--
    EZPW +900 Shares (10 lots),900,05/07/2026,Short term,3.1687022222,3.089,-0.135,3.089,-0.135,3.1687022222,-109.5,-71.732,2780.1,3,3.355,2026-07-29
    FMX +50 Shares (2 lots),50,06/10/2026,Short term,12.50249,12.688,0.054,12.688,0.054,12.50249,2.7,9.2755,634.4,10,13.151,2026-07-28
    FN +10 Shares (2 lots),10,06/11/2026,Short term,60.15975,58.803,-4.755,58.803,-4.755,60.15975,-34.4125,-13.5675,588.03,58.952,59.3,2026-08-17
    FRCB +376 Shares (3 lots),376,08/14/2017,Long term,1.7655638298,0.00006,-0.0001,0.00006,-0.0001,1.7655638298,-0.0376,-663.82944,0.02256,0,0,2023-07-27
    GDMN +400 Shares (6 lots),400,06/12/2026,Short term,8.24198,8.844,0.215,8.844,0.215,8.24198,86,240.808,3537.6,8.64,9.4,--
    GM +225 Shares (7 lots),225,06/02/2026,Short term,8.1857177778,8.251,-0.156,8.251,-0.156,8.1857177778,-31.2,14.6885,1856.475,8.27,8.3,2026-07-21
    GOOG +45 Shares (7 lots),45,05/29/2026,Short term,37.1388666667,37.11,0.399,37.11,0.399,37.1388666667,17.955,-1.299,1669.95,36.92,37,2026-07-23
    HHH +135 Shares (5 lots),135,10/08/2025,Short term,8.4053777778,6.794,0.085,6.794,0.085,8.4053777778,11.475,-217.536,917.19,6.666,6.84,2026-08-05
    IAUM +525 Shares (6 lots),525,03/02/2026,Short term,4.8400238095,4.318,0.011,4.318,0.011,4.8400238095,5.775,-274.0625,2266.95,4.316,4.321,--
    IBIT +350 Shares (2 lots),350,06/12/2026,Short term,3.6708571429,3.717,-0.057,3.717,-0.057,3.6708571429,-19.95,16.15,1300.95,3.719,3.722,--
    ICHR +135 Shares (3 lots),135,06/11/2026,Short term,8.1258148148,8.577,-0.37,8.577,-0.37,8.1258148148,-45.65,60.91,1157.895,8.577,8.7,2026-08-04
    IGM +60 Shares (2 lots),60,06/02/2026,Short term,16.8794166667,16.103,-0.406,16.103,-0.406,16.8794166667,-24,-46.585,966.18,16.1,16.434,--
    INCY +115 Shares (2 lots),115,06/10/2026,Short term,10.6264782609,9.975,-0.223,9.975,-0.223,10.6264782609,-25.645,-74.92,1147.125,9.9,10.2,2026-07-28
    INDV +325 Shares (4 lots),325,06/08/2026,Short term,3.8175753846,3.801,-0.039,3.801,-0.039,3.8175753846,-12.675,-5.387,1235.325,3.801,3.849,2026-08-06
    IWM +100 Shares (1 lot),100,06/15/2026,Short term,29.726,29.208,-0.256,29.208,-0.256,29.726,-25.6,-51.8,2920.8,29.214,29.218,--
    JAZZ +15 Shares (1 lot),15,06/08/2026,Short term,23.1895333333,22.688,-0.371,22.688,-0.371,23.1895333333,-5.565,-7.523,340.32,22.488,23.988,2026-08-04
    KGC +341 Shares (4 lots),341,01/21/2026,Short term,3.1653079179,2.799,0.065,2.799,0.065,3.1653079179,22.165,-124.911,954.459,2.783,2.8,2026-07-29
    LRN +60 Shares (2 lots),60,09/10/2025,Short term,12.357,8.336,-0.018,8.336,-0.018,12.357,-1.08,-241.26,500.16,8.31,8.4,2026-08-04
    MDLZ +15 Shares (1 lot),15,06/12/2026,Short term,6.332,6.215,0.065,6.215,0.065,6.332,0.975,-1.755,93.225,6.15,6.222,2026-07-28
    MKOR +115 Shares (2 lots),115,05/27/2026,Short term,6.6350217391,6.838,-0.2265,6.838,-0.2265,6.6350217391,-26.0475,23.3425,786.37,6.087,10.264,--
    MLPI +270 Shares (6 lots),270,05/15/2026,Short term,5.6820148148,5.452,-0.04324,5.452,-0.04324,5.6820148148,-11.6748,-62.104,1472.04,5.46,5.54,--
    MRK +350 Shares (5 lots),350,02/18/2026,Short term,12.0220571429,11.517,0.027,11.517,0.027,12.0220571429,9.45,-176.77,4030.95,11.5,11.525,2026-08-04
    MSFT +140 Shares (17 lots),140,04/29/2026,Short term,41.7466035714,39.383,-0.593,39.383,-0.593,41.7466035714,-79.5175,-330.9045,5513.62,39.29,39.3,2026-07-29
    MTZ +7 Shares (1 lot),7,06/11/2026,Short term,35.1115714286,36.935,-0.25,36.935,-0.25,35.1115714286,-1.75,12.764,258.545,36.86,37.5,2026-07-30
    MXL +90 Shares (2 lots),90,06/05/2026,Short term,8.4690388889,8.439,-0.437,8.439,-0.437,8.4690388889,-39.33,-2.7035,759.51,8.451,8.495,2026-07-22
    MYRG +25 Shares (2 lots),25,05/29/2026,Short term,46.323,44.677,-0.317,44.677,-0.317,46.323,-7.925,-41.15,1116.925,41.187,49.304,2026-07-29
    NBIS +5 Shares (1 lot),5,06/08/2026,Short term,23.862,26.51,0.503,26.51,0.503,23.862,2.515,13.24,132.55,26.375,26.483,2026-08-06
    NEM +85 Shares (3 lots),85,02/20/2026,Short term,11.7344941176,10.844,0.264,10.844,0.264,11.7344941176,22.44,-75.692,921.74,10.8,10.874,2026-07-23
    NEXA +600 Shares (3 lots),600,06/02/2026,Short term,1.588455,1.484,0.043,1.484,0.043,1.588455,25.8,-62.673,890.4,1.47,1.535,2026-07-30
    NLCP +1200 Shares (3 lots),1200,05/29/2026,Short term,1.5302083333,1.525,-0.03515,1.525,-0.03515,1.5312741667,-42.18,-7.529,1830,0,0,2026-08-05
    NVDA +45 Shares (1 lot),45,06/03/2026,Short term,21.69,20.741,-0.504,20.741,-0.504,21.69,-22.68,-42.705,933.345,20.741,20.749,2026-08-26
    PARR +250 Shares (5 lots),250,05/05/2026,Short term,5.881748,5.253,-0.095,5.253,-0.095,5.881748,-23.75,-157.187,1313.25,5.106,5.6,2026-08-04
    PBR +375 Shares (3 lots),375,06/08/2026,Short term,1.8059053333,1.705,-0.029,1.705,-0.029,1.8059053333,-10.875,-37.8395,639.375,1.698,1.706,2026-08-06
    PINE +2500 Shares (8 lots),2500,05/20/2026,Short term,1.9729152,2.009,0.011,2.009,0.011,1.9729152,27.5,90.212,5022.5,2,2.1,2026-07-23
    PLTR +205 Shares (5 lots),205,06/02/2026,Short term,14.9773073171,13.325,-0.146,13.325,-0.146,14.9773073171,-26.28,-338.723,2731.625,13.24,13.265,2026-08-03
    PM +55 Shares (3 lots),55,06/12/2026,Short term,18.3140863636,18.406,0.225,18.406,0.225,18.3140863636,12.375,5.05525,1012.33,18.285,18.634,2026-07-22
    PPLT +530 Shares (6 lots),530,01/15/2026,Short term,2.0556981132,1.642,0.036,1.642,0.036,2.0556981132,19.08,-219.26,870.26,1.622,1.647,--
    PSIX +125 Shares (2 lots),125,06/11/2026,Short term,4.0092,3.902,-0.042,3.902,-0.042,4.0092,-5.25,-13.4,487.75,3.875,4.015,2026-08-06
    PSTL +1300 Shares (14 lots),1300,03/05/2026,Short term,2.2789519231,2.331,0.015,2.331,0.015,2.2789519231,19.5,67.6625,3030.3,2.214,2.45,2026-08-03
    PSUS +950 Shares (10 lots),950,05/28/2026,Short term,3.8543563158,4.007,0.046,4.007,0.046,3.8543563158,43.7,145.0115,3806.65,4.011,4.02,--
    QQQ +23 Shares (2 lots),23,06/15/2026,Short term,73.7103478261,72.986,-1.414,72.986,-1.414,73.7103478261,-28.28,-16.66,1678.678,73.04,73.048,--
    REMX +95 Shares (5 lots),95,05/08/2026,Short term,10.0307368421,9.678,-0.011,9.678,-0.011,10.0307368421,-1.045,-33.51,919.41,9.65,9.799,--
    RTX +55 Shares (3 lots),55,05/29/2026,Short term,18.0373909091,18.677,0.313,18.677,0.313,18.0373909091,17.215,35.1785,1027.235,18.611,18.68,2026-07-21
    SGDM +300 Shares (2 lots),300,06/15/2026,Short term,7.0636666667,7.216,0.155,7.216,0.155,7.0636666667,46.5,45.7,2164.8,6.84,7.667,--
    SHLD +130 Shares (2 lots),130,04/10/2026,Short term,6.8652,6.386,0.058,6.386,0.058,6.8652,7.54,-62.296,830.18,6.355,6.45,2018-11-30
    SIL +65 Shares (2 lots),65,01/28/2026,Short term,11.1770615385,8.923,0.228,8.923,0.228,11.1770615385,14.82,-146.514,579.995,8.866,8.95,--
    SIVR +140 Shares (3 lots),140,03/02/2026,Short term,8.3707892857,6.66,-0.009,6.66,-0.009,8.3707892857,-1.26,-239.5105,932.4,6.651,6.657,--
    SLV +125 Shares (5 lots),125,03/02/2026,Short term,7.463832,6.339,-0.008,6.339,-0.008,7.463832,-1,-140.604,792.375,6.33,6.335,--
    SMCI +425 Shares (5 lots),425,06/03/2026,Short term,3.4311223529,2.922,-0.163,2.922,-0.163,3.4311223529,-64.925,-216.377,1241.85,2.937,2.94,2026-08-04
    SOXX +15 Shares (1 lot),15,06/12/2026,Short term,58.999,59.124,-3.721,59.124,-3.721,58.999,-55.815,1.875,886.86,59.45,59.549,--
    SPCX +325 Shares (12 lots),325,06/16/2026,Short term,20.4281023077,20.18,0.93,20.18,0.93,20.4281023077,-80.63325,-80.63325,6558.5,20.583,20.59,--
    SPMO +164 Shares (2 lots),164,06/12/2026,Short term,15.2897256098,15.462,-0.322,15.462,-0.322,15.2897256098,-52.808,28.253,2535.768,15.51,15.516,--
    SSRM +575 Shares (3 lots),575,04/08/2026,Short term,3.4092721739,3.183,0.289,3.183,0.289,3.4092721739,166.175,-130.1065,1830.225,3.14,3.183,2026-08-04
    STRL +15 Shares (1 lot),15,06/08/2026,Short term,89.434,85.776,-0.891,85.776,-0.891,89.434,-13.365,-54.87,1286.64,85.776,86.5,2026-08-03
    SYF +110 Shares (3 lots),110,09/10/2025,Short term,7.5827,7.529,0.068,7.529,0.068,7.5827,7.48,-5.907,828.19,7.456,7.599,2026-07-21
    THG +175 Shares (6 lots),175,06/08/2026,Short term,19.5966371429,19.92,0.093,19.92,0.093,19.5966371429,16.275,56.5885,3486,19.85,31.556,2026-07-29
    TIGO +200 Shares (4 lots),200,06/10/2026,Short term,9.008685,8.731,-0.214,8.731,-0.214,9.008685,-24.35,-55.537,1746.2,8.565,9,2026-08-06
    TSLA +55 Shares (6 lots),55,01/15/2026,Short term,39.7644636364,40.466,-0.649,40.466,-0.649,39.7644636364,-32.2175,38.5845,2225.63,40.297,40.302,2026-07-22
    TTMI +15 Shares (1 lot),15,06/12/2026,Short term,19.429,19.958,-0.708,19.958,-0.708,19.429,-10.62,7.935,299.37,19.958,20.559,2026-07-29
    UBER +170 Shares (4 lots),170,07/15/2025,Short term,9.0862235294,7.325,0.04,7.325,0.04,9.0862235294,6.8,-299.408,1245.25,7.325,7.34,2026-08-05
    UNFI +625 Shares (10 lots),625,05/20/2026,Short term,5.190148,4.951,-0.082,4.951,-0.082,5.190148,-51.25,-149.4675,3094.375,4.951,5.078,2026-09-29
    UNH +130 Shares (5 lots),130,06/10/2026,Short term,40.7001153846,40.765,-0.339,40.765,-0.339,40.7001153846,-42.435,8.435,5299.45,40.701,40.76,2026-07-16
    URA +110 Shares (4 lots),110,10/31/2025,Short term,5.4212863636,4.787,-0.019,4.787,-0.019,5.4212863636,-2.09,-69.7715,526.57,4.75,4.787,--
    USAR +300 Shares (2 lots),300,06/08/2026,Short term,2.19592,2.174,-0.128,2.174,-0.128,2.19592,-38.4,-6.576,652.2,2.173,2.174,2026-08-10
    USO +190 Shares (4 lots),190,06/09/2026,Short term,12.9726052632,11.547,-0.574,11.547,-0.574,12.9726052632,-95.11,-270.865,2193.93,11.485,11.499,--
    VGSH +900 Shares (3 lots),900,05/26/2026,Short term,5.8232122222,5.822,0.002,5.822,0.002,5.8232122222,1.8,-1.091,5239.8,5.821,5.823,--
    VRT +5 Shares (1 lot),5,05/14/2026,Short term,37.113,29.96,-1.233,29.96,-1.233,37.113,-6.165,-35.765,149.8,30.05,30.073,2026-07-29
    VTIP +300 Shares (2 lots),300,05/27/2026,Short term,5.0348333333,5.0325,-0.0055,5.0325,-0.0055,5.0348333333,-1.65,-0.7,1509.75,5.031,5.034,--
    XOM +125 Shares (3 lots),125,06/10/2026,Short term,15.0982,14.186,0.094,14.186,0.094,15.0982,11.75,-114.025,1773.25,14.18,14.185,2026-07-31
Portfolio Analysis,--,--,--,--,--,--,--,--,--,-1835.6037,-1522.50426,188945.62456,--,--,--
"Cash on Deposit: $6,783.753",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
