"Account 900001001 Positions, as of 07/01/26 at 07:49 PM EST"
Position,Qty,Date Acquired,Term,Cost Basis,U/L Price,U/L Change,Mark,Mark Chg,Net Cost Basis,Today's Net Gain,Open Net Gain,Market Value,Bid,Ask,Earnings Date
    50  06/08/2026,50,06/08/2026,Short term,5.0326,--,--,5.301,0.016,5.0326,0.8,13.42,265.05,5.223,5.388,--
    50  06/09/2026,50,06/09/2026,Short term,5.3615,--,--,5.301,0.016,5.3615,0.8,-3.025,265.05,5.223,5.388,--
    175  06/10/2026,175,06/10/2026,Short term,5.347,--,--,5.301,0.016,5.347,2.8,-8.05,927.675,5.223,5.388,--
    100  06/11/2026,100,06/11/2026,Short term,5.254,--,--,5.301,0.016,5.254,1.6,4.7,530.1,5.223,5.388,--
    100  06/15/2026,100,06/15/2026,Short term,5.33514,--,--,5.301,0.016,5.33514,1.6,-3.414,530.1,5.223,5.388,--
    100  06/16/2026,100,06/16/2026,Short term,5.2076,--,--,5.301,0.016,5.2076,1.6,9.34,530.1,5.223,5.388,--
    200  06/29/2026,200,06/29/2026,Short term,5.42022,--,--,5.301,0.016,5.42022,3.2,-23.844,1060.2,5.223,5.388,--
    100  06/29/2026,100,06/29/2026,Short term,5.437,--,--,5.301,0.016,5.437,1.6,-13.6,530.1,5.223,5.388,--
    150  06/29/2026,150,06/29/2026,Short term,5.4545,--,--,5.301,0.016,5.4545,2.4,-23.025,795.15,5.223,5.388,--
    ARKX +250 Shares (3 lots),250,06/18/2026,Short term,3.3874,3.383,-0.029,3.383,-0.029,3.3874,-6.8,-1.1,845.75,3.38,3.416,--
    100  06/18/2026,100,06/18/2026,Short term,3.426,--,--,3.383,-0.029,3.426,-2.9,-4.3,338.3,3.38,3.416,--
    100  06/22/2026,100,06/22/2026,Short term,3.341,--,--,3.383,-0.029,3.341,-2.9,4.2,338.3,3.38,3.416,--
    50  07/01/2026,50,07/01/2026,Short term,3.403,--,--,3.383,-0.029,3.403,-1,-1,169.15,3.38,3.416,--
    AUGO +190 Shares (6 lots),190,04/20/2026,Short term,8.7448447,6.05,-0.245,6.05,-0.245,8.7448447,-46.55,-512.020493,1149.5,6,6.4,2026-08-05
    25  04/20/2026,25,04/20/2026,Short term,10.444,--,--,6.05,-0.245,10.444,-6.125,-109.85,151.25,6,6.4,--
    50  04/21/2026,50,04/21/2026,Short term,9.999,--,--,6.05,-0.245,9.999,-12.25,-197.45,302.5,6,6.4,--
    20  04/21/2026,20,04/21/2026,Short term,9.744,--,--,6.05,-0.245,9.744,-4.9,-73.88,121,6,6.4,--
    30  04/24/2026,30,04/24/2026,Short term,8.9,--,--,6.05,-0.245,8.9,-7.35,-85.5,181.5,6,6.4,--
    15  05/01/2026,15,05/01/2026,Short term,8.3435333,--,--,6.05,-0.245,8.3435333,-3.675,-34.4029995,90.75,6,6.4,--
    50  06/29/2026,50,06/29/2026,Short term,6.26875,--,--,6.05,-0.245,6.26875,-12.25,-10.9375,302.5,6,6.4,--
    B +270 Shares (4 lots),270,01/15/2026,Short term,4.2410981,3.645,-0.028,3.645,-0.028,4.2410981,-7.56,-160.946487,984.15,3.649,3.655,2026-08-11
    25  01/15/2026,25,01/15/2026,Short term,4.95675,--,--,3.645,-0.028,4.95675,-0.7,-32.79375,91.125,3.649,3.655,--
    50  02/17/2026,50,02/17/2026,Short term,4.64678,--,--,3.645,-0.028,4.64678,-1.4,-50.089,182.25,3.649,3.655,--
    70  02/20/2026,70,02/20/2026,Short term,4.712,--,--,3.645,-0.028,4.712,-1.96,-74.69,255.15,3.649,3.655,--
    125  06/29/2026,125,06/29/2026,Short term,3.67199,--,--,3.645,-0.028,3.67199,-3.5,-3.37375,455.625,3.649,3.655,--
    BE +10 Shares (1 lot),10,06/26/2026,Short term,27.3447,28.95,-1.32,28.95,-1.32,27.3447,-13.2,16.053,289.5,29.511,29.543,2026-07-30
    10  06/26/2026,10,06/26/2026,Short term,27.3447,--,--,28.95,-1.32,27.3447,-13.2,16.053,289.5,29.511,29.543,--
    BLOX +1175 Shares (8 lots),1175,05/15/2026,Short term,1.7018642,1.505,-0.051,1.505,-0.051,1.7018642,-59.925,-231.315435,1768.375,1.5,1.518,--
    125  05/15/2026,125,05/15/2026,Short term,1.697,--,--,1.505,-0.051,1.697,-6.375,-24,188.125,1.5,1.518,--
    125  05/29/2026,125,05/29/2026,Short term,1.771,--,--,1.505,-0.051,1.771,-6.375,-33.25,188.125,1.5,1.518,--
    125  06/02/2026,125,06/02/2026,Short term,1.796,--,--,1.505,-0.051,1.796,-6.375,-36.375,188.125,1.5,1.518,--
    250  06/03/2026,250,06/03/2026,Short term,1.76989,--,--,1.505,-0.051,1.76989,-12.75,-66.2225,376.25,1.5,1.518,--
    125  06/04/2026,125,06/04/2026,Short term,1.746,--,--,1.505,-0.051,1.746,-6.375,-30.125,188.125,1.5,1.518,--
    125  06/15/2026,125,06/15/2026,Short term,1.714,--,--,1.505,-0.051,1.714,-6.375,-26.125,188.125,1.5,1.518,--
    150  06/29/2026,150,06/29/2026,Short term,1.5649933,--,--,1.505,-0.051,1.5649933,-7.65,-8.998995,225.75,1.5,1.518,--
    150  06/30/2026,150,06/30/2026,Short term,1.54646,--,--,1.505,-0.051,1.54646,-7.65,-6.219,225.75,1.5,1.518,--
    BRK.B +75 Shares (10 lots),75,10/08/2025,Short term,49.5800119,49.974,-0.065,49.974,-0.065,49.5800119,-4.875,29.5491075,3748.05,49.974,50,2026-08-01
    5  10/08/2025,5,10/08/2025,Short term,50.05,--,--,49.974,-0.065,50.05,-0.325,-0.38,249.87,49.974,50,--
    5  10/09/2025,5,10/09/2025,Short term,50.044,--,--,49.974,-0.065,50.044,-0.325,-0.35,249.87,49.974,50,--
    6  02/09/2026,6,02/09/2026,Short term,50.4265,--,--,49.974,-0.065,50.4265,-0.39,-2.715,299.844,49.974,50,--
    5  05/26/2026,5,05/26/2026,Short term,48.4488,--,--,49.974,-0.065,48.4488,-0.325,7.626,249.87,49.974,50,--
    10  06/10/2026,10,06/10/2026,Short term,48.953,--,--,49.974,-0.065,48.953,-0.65,10.21,499.74,49.974,50,--
    5  06/16/2026,5,06/16/2026,Short term,49.2972,--,--,49.974,-0.065,49.2972,-0.325,3.384,249.87,49.974,50,--
    15  06/29/2026,15,06/29/2026,Short term,49.7515333,--,--,49.974,-0.065,49.7515333,-0.975,3.3370005,749.61,49.974,50,--
    10  06/29/2026,10,06/29/2026,Short term,49.64899,--,--,49.974,-0.065,49.64899,-0.65,3.2501,499.74,49.974,50,--
    7  06/29/2026,7,06/29/2026,Short term,49.6014286,--,--,49.974,-0.065,49.6014286,-0.455,2.6079998,349.818,49.974,50,--
    7  06/29/2026,7,06/29/2026,Short term,49.6055714,--,--,49.974,-0.065,49.6055714,-0.455,2.5790002,349.818,49.974,50,--
    BTG +3500 Shares (3 lots),3500,06/05/2026,Short term,0.4055285,0.382,0.008,0.382,0.008,0.4055285,28,-82.34975,1337,0.383,0.386,2026-08-06
    1500  06/05/2026,1500,06/05/2026,Short term,0.418,--,--,0.382,0.008,0.418,12,-54,573,0.383,0.386,--
    1000  06/08/2026,1000,06/08/2026,Short term,0.41685,--,--,0.382,0.008,0.41685,8,-34.85,382,0.383,0.386,--
    1000  06/29/2026,1000,06/29/2026,Short term,0.3755,--,--,0.382,0.008,0.3755,8,6.5,382,0.383,0.386,--
    CCL +200 Shares (2 lots),200,09/29/2025,Short term,3.00285,2.852,-0.005,2.852,-0.005,3.00285,-1,-30.17,570.4,2.85,2.861,2026-09-28
    100  09/29/2025,100,09/29/2025,Short term,2.953,--,--,2.852,-0.005,2.953,-0.5,-10.1,285.2,2.85,2.861,--
    100  06/22/2026,100,06/22/2026,Short term,3.0527,--,--,2.852,-0.005,3.0527,-0.5,-20.07,285.2,2.85,2.861,--
    CLS +54 Shares (6 lots),54,05/04/2026,Short term,38.5167777,36.162,-0.318,36.162,-0.318,38.5167777,-17.172,-127.1579958,1952.748,35.5,36.139,2026-07-27
    10  05/04/2026,10,05/04/2026,Short term,41.3634,--,--,36.162,-0.318,41.3634,-3.18,-52.014,361.62,35.5,36.139,--
    10  05/06/2026,10,05/06/2026,Short term,41.264,--,--,36.162,-0.318,41.264,-3.18,-51.02,361.62,35.5,36.139,--
    7  06/03/2026,7,06/03/2026,Short term,45.2495714,--,--,36.162,-0.318,45.2495714,-2.226,-63.6129998,253.134,35.5,36.139,--
    10  06/25/2026,10,06/25/2026,Short term,35.1728,--,--,36.162,-0.318,35.1728,-3.18,9.892,361.62,35.5,36.139,--
    10  06/26/2026,10,06/26/2026,Short term,34.4035,--,--,36.162,-0.318,34.4035,-3.18,17.585,361.62,35.5,36.139,--
    7  06/26/2026,7,06/26/2026,Short term,34.446,--,--,36.162,-0.318,34.446,-2.226,12.012,253.134,35.5,36.139,--
    CNC +210 Shares (5 lots),210,06/08/2026,Short term,6.480469,6.835,0.416,6.835,0.416,6.480469,87.36,74.45151,1435.35,6.83,6.85,2026-07-28
    30  06/08/2026,30,06/08/2026,Short term,6.525,--,--,6.835,0.416,6.525,12.48,9.3,205.05,6.83,6.85,--
    50  06/10/2026,50,06/10/2026,Short term,6.5405,--,--,6.835,0.416,6.5405,20.8,14.725,341.75,6.83,6.85,--
    30  06/11/2026,30,06/11/2026,Short term,6.3975,--,--,6.835,0.416,6.3975,12.48,13.125,205.05,6.83,6.85,--
    50  06/29/2026,50,06/29/2026,Short term,6.5115,--,--,6.835,0.416,6.5115,20.8,16.175,341.75,6.83,6.85,--
    50  06/30/2026,50,06/30/2026,Short term,6.41247,--,--,6.835,0.416,6.41247,20.8,21.1265,341.75,6.83,6.85,--
    CNSWF +37 Shares (4 lots),37,05/27/2026,Short term,196.7425945,192.94175,4.14175,192.94175,4.14175,196.7880809865,153.24475,-142.3142465,7138.84475,0,0,--
    10  05/27/2026,10,05/27/2026,Short term,193.789,--,--,192.94175,4.14175,193.8088,41.4175,-8.6705,1929.4175,0,0,--
    10  06/15/2026,10,06/15/2026,Short term,207.777,--,--,192.94175,4.14175,207.8265,41.4175,-148.8475,1929.4175,0,0,--
    10  06/23/2026,10,06/23/2026,Short term,190.023,--,--,192.94175,4.14175,190.0725,41.4175,28.6925,1929.4175,0,0,--
    7  06/29/2026,7,06/29/2026,Short term,194.798,--,--,192.94175,4.14175,194.8687142,28.99225,-13.4887494,1350.59225,0,0,--
    CRDO +80 Shares (5 lots),80,06/12/2026,Short term,26.548875,25.909,-1.286,25.909,-1.286,26.548875,-89.125,-51.19,2072.72,25.85,25.9,2026-09-02
    15  06/12/2026,15,06/12/2026,Short term,25.399,--,--,25.909,-1.286,25.399,-19.29,7.65,388.635,25.85,25.9,--
    10  06/12/2026,10,06/12/2026,Short term,25.478,--,--,25.909,-1.286,25.478,-12.86,4.31,259.09,25.85,25.9,--
    15  06/15/2026,15,06/15/2026,Short term,26.3,--,--,25.909,-1.286,26.3,-19.29,-5.865,388.635,25.85,25.9,--
    25  06/24/2026,25,06/24/2026,Short term,27.979,--,--,25.909,-1.286,27.979,-32.15,-51.75,647.725,25.85,25.9,--
    15  07/01/2026,15,07/01/2026,Short term,26.278,--,--,25.909,-1.286,26.278,-5.535,-5.535,388.635,25.85,25.9,--
    CRM +10 Shares (1 lot),10,06/09/2026,Short term,17.3605,16.323,0.657,16.323,0.657,17.3605,6.57,-10.375,163.23,16.21,16.25,2026-09-02
    10  06/09/2026,10,06/09/2026,Short term,17.3605,--,--,16.323,0.657,17.3605,6.57,-10.375,163.23,16.21,16.25,--
    CSTM +1000 Shares (9 lots),1000,05/14/2026,Short term,3.3057665,3.024,-0.163,3.024,-0.163,3.3057665,-163,-281.7665,3024,3.025,3.041,2026-07-28
    25  05/14/2026,25,05/14/2026,Short term,3.35,--,--,3.024,-0.163,3.35,-4.075,-8.15,75.6,3.025,3.041,--
    125  05/27/2026,125,05/27/2026,Short term,3.30688,--,--,3.024,-0.163,3.30688,-20.375,-35.36,378,3.025,3.041,--
    100  06/08/2026,100,06/08/2026,Short term,3.35617,--,--,3.024,-0.163,3.35617,-16.3,-33.217,302.4,3.025,3.041,--
    100  06/15/2026,100,06/15/2026,Short term,3.5015,--,--,3.024,-0.163,3.5015,-16.3,-47.75,302.4,3.025,3.041,--
    150  06/15/2026,150,06/15/2026,Short term,3.45798,--,--,3.024,-0.163,3.45798,-24.45,-65.097,453.6,3.025,3.041,--
    100  06/22/2026,100,06/22/2026,Short term,3.425,--,--,3.024,-0.163,3.425,-16.3,-40.1,302.4,3.025,3.041,--
    125  06/26/2026,125,06/26/2026,Short term,3.26194,--,--,3.024,-0.163,3.26194,-20.375,-29.7425,378,3.025,3.041,--
    150  06/29/2026,150,06/29/2026,Short term,3.093,--,--,3.024,-0.163,3.093,-24.45,-10.35,453.6,3.025,3.041,--
    125  06/29/2026,125,06/29/2026,Short term,3.12,--,--,3.024,-0.163,3.12,-20.375,-12,378,3.025,3.041,--
    DRH +4375 Shares (10 lots),4375,05/12/2026,Short term,1.1990171,1.193,-0.025,1.193,-0.025,1.1990171,-109.375,-26.3248125,5219.375,1.161,1.219,2026-07-30
    125  05/12/2026,125,05/12/2026,Short term,1.062,--,--,1.193,-0.025,1.062,-3.125,16.375,149.125,1.161,1.219,--
    300  05/29/2026,300,05/29/2026,Short term,1.099,--,--,1.193,-0.025,1.099,-7.5,28.2,357.9,1.161,1.219,--
    200  06/09/2026,200,06/09/2026,Short term,1.1635,--,--,1.193,-0.025,1.1635,-5,5.9,238.6,1.161,1.219,--
    300  06/10/2026,300,06/10/2026,Short term,1.172,--,--,1.193,-0.025,1.172,-7.5,6.3,357.9,1.161,1.219,--
    500  06/10/2026,500,06/10/2026,Short term,1.1845,--,--,1.193,-0.025,1.1845,-12.5,4.25,596.5,1.161,1.219,--
    350  06/17/2026,350,06/17/2026,Short term,1.203,--,--,1.193,-0.025,1.203,-8.75,-3.5,417.55,1.161,1.219,--
    750  06/17/2026,750,06/17/2026,Short term,1.188,--,--,1.193,-0.025,1.188,-18.75,3.75,894.75,1.161,1.219,--
    450  06/23/2026,450,06/23/2026,Short term,1.2245,--,--,1.193,-0.025,1.2245,-11.25,-14.175,536.85,1.161,1.219,--
    150  06/24/2026,150,06/24/2026,Short term,1.2325,--,--,1.193,-0.025,1.2325,-3.75,-5.925,178.95,1.161,1.219,--
    1250  06/26/2026,1250,06/26/2026,Short term,1.247,--,--,1.193,-0.025,1.247,-31.25,-67.5,1491.25,1.161,1.219,--
    DY +27 Shares (3 lots),27,05/29/2026,Short term,49.8414233,47.051,-3.508,47.051,-3.508,49.8414233,-81.654,-75.3414291,1270.377,46.501,48.847,2026-08-26
    13  05/29/2026,13,05/29/2026,Short term,50.9885,--,--,47.051,-3.508,50.9885,-45.604,-51.1875,611.663,46.501,48.847,--
    7  06/26/2026,7,06/26/2026,Short term,48.8595714,--,--,47.051,-3.508,48.8595714,-24.556,-12.6599998,329.357,46.501,48.847,--
    7  07/01/2026,7,07/01/2026,Short term,48.69299,--,--,47.051,-3.508,48.69299,-11.49393,-11.49393,329.357,46.501,48.847,--
    EAT +45 Shares (2 lots),45,07/02/2025,Short term,17.7656666,17.207,0.407,17.207,0.407,17.7656666,18.315,-25.139997,774.315,15.207,17.8,2026-08-12
    30  07/02/2025,30,07/02/2025,Short term,18.2145,--,--,17.207,0.407,18.2145,12.21,-30.225,516.21,15.207,17.8,--
    15  06/26/2026,15,06/26/2026,Short term,16.868,--,--,17.207,0.407,16.868,6.105,5.085,258.105,15.207,17.8,--
    EMEQ +200 Shares (5 lots),200,05/29/2026,Short term,6.91522,6.961,-0.325,6.961,-0.325,6.91522,-53.494,9.156,1392.2,6.7,7.315,--
    50  05/29/2026,50,05/29/2026,Short term,6.78,--,--,6.961,-0.325,6.78,-16.25,9.05,348.05,6.7,7.315,--
    50  06/05/2026,50,06/05/2026,Short term,6.498,--,--,6.961,-0.325,6.498,-16.25,23.15,348.05,6.7,7.315,--
    50  06/26/2026,50,06/26/2026,Short term,7.327,--,--,6.961,-0.325,7.327,-16.25,-18.3,348.05,6.7,7.315,--
    14  07/01/2026,14,07/01/2026,Short term,7.053,--,--,6.961,-0.325,7.053,-1.288,-1.288,97.454,6.7,7.315,--
    36  07/01/2026,36,07/01/2026,Short term,7.057,--,--,6.961,-0.325,7.057,-3.456,-3.456,250.596,6.7,7.315,--
    EPR +150 Shares (2 lots),150,06/08/2026,Short term,5.8795,5.774,-0.027,5.774,-0.027,5.8795,-4.05,-15.825,866.1,5.723,5.858,2026-07-29
    75  06/08/2026,75,06/08/2026,Short term,5.754,--,--,5.774,-0.027,5.754,-2.025,1.5,433.05,5.723,5.858,--
    75  06/11/2026,75,06/11/2026,Short term,6.005,--,--,5.774,-0.027,6.005,-2.025,-17.325,433.05,5.723,5.858,--
    ET +1595 Shares (11 lots),1595,05/01/2026,Short term,1.96057,1.905,-0.007,1.905,-0.007,1.96057,-11.165,-88.63415,3038.475,1.901,1.903,2026-08-04
    125  05/01/2026,125,05/01/2026,Short term,1.9825,--,--,1.905,-0.007,1.9825,-0.875,-9.6875,238.125,1.901,1.903,--
    200  05/04/2026,200,05/04/2026,Short term,2.0035,--,--,1.905,-0.007,2.0035,-1.4,-19.7,381,1.901,1.903,--
    125  05/06/2026,125,05/06/2026,Short term,2.00975,--,--,1.905,-0.007,2.00975,-0.875,-13.09375,238.125,1.901,1.903,--
    125  05/06/2026,125,05/06/2026,Short term,1.987,--,--,1.905,-0.007,1.987,-0.875,-10.25,238.125,1.901,1.903,--
    100  05/08/2026,100,05/08/2026,Short term,1.9555,--,--,1.905,-0.007,1.9555,-0.7,-5.05,190.5,1.901,1.903,--
    100  05/13/2026,100,05/13/2026,Short term,1.98499,--,--,1.905,-0.007,1.98499,-0.7,-7.999,190.5,1.901,1.903,--
    100  05/26/2026,100,05/26/2026,Short term,1.9865,--,--,1.905,-0.007,1.9865,-0.7,-8.15,190.5,1.901,1.903,--
    150  05/26/2026,150,05/26/2026,Short term,1.9699933,--,--,1.905,-0.007,1.9699933,-1.05,-9.748995,285.75,1.901,1.903,--
    100  05/27/2026,100,05/27/2026,Short term,1.9355,--,--,1.905,-0.007,1.9355,-0.7,-3.05,190.5,1.901,1.903,--
    120  05/29/2026,120,05/29/2026,Short term,1.9165,--,--,1.905,-0.007,1.9165,-0.84,-1.38,228.6,1.901,1.903,--
    350  06/29/2026,350,06/29/2026,Short term,1.9065,--,--,1.905,-0.007,1.9065,-2.45,-0.525,666.75,1.901,1.903,--
    EWY +70 Shares (3 lots),70,06/02/2026,Short term,20.2309571,18.55,-1.64,18.55,-1.64,20.2309571,-114.8,-117.666997,1298.5,18.625,18.689,--
    10  06/02/2026,10,06/02/2026,Short term,21.2622,--,--,18.55,-1.64,21.2622,-16.4,-27.122,185.5,18.625,18.689,--
    10  06/03/2026,10,06/03/2026,Short term,21.117,--,--,18.55,-1.64,21.117,-16.4,-25.67,185.5,18.625,18.689,--
    50  06/30/2026,50,06/30/2026,Short term,19.8475,--,--,18.55,-1.64,19.8475,-82,-64.875,927.5,18.625,18.689,--
    EZPW +625 Shares (8 lots),625,05/13/2026,Short term,3.2643767,3.553,0.096,3.553,0.096,3.2643767,63.187,180.3895625,2220.625,3.511,3.611,2026-07-29
    15  05/13/2026,15,05/13/2026,Short term,3.3015333,--,--,3.553,0.096,3.3015333,1.44,3.7720005,53.295,3.511,3.611,--
    50  05/14/2026,50,05/14/2026,Short term,3.2555,--,--,3.553,0.096,3.2555,4.8,14.875,177.65,3.511,3.611,--
    75  05/27/2026,75,05/27/2026,Short term,3.341,--,--,3.553,0.096,3.341,7.2,15.9,266.475,3.511,3.611,--
    100  05/28/2026,100,05/28/2026,Short term,3.3235,--,--,3.553,0.096,3.3235,9.6,22.95,355.3,3.511,3.611,--
    75  05/28/2026,75,05/28/2026,Short term,3.215,--,--,3.553,0.096,3.215,7.2,25.35,266.475,3.511,3.611,--
    100  06/16/2026,100,06/16/2026,Short term,3.104,--,--,3.553,0.096,3.104,9.6,44.9,355.3,3.511,3.611,--
    135  06/24/2026,135,06/24/2026,Short term,3.24,--,--,3.553,0.096,3.24,12.96,42.255,479.655,3.511,3.611,--
    75  07/01/2026,75,07/01/2026,Short term,3.4145,--,--,3.553,0.096,3.4145,10.3875,10.3875,266.475,3.511,3.611,--
    FMX +80 Shares (4 lots),80,06/10/2026,Short term,12.5647749,12.811,0.021,12.811,0.021,12.5647749,1.68,19.698008,1024.88,9.911,13.357,2026-07-28
    25  06/10/2026,25,06/10/2026,Short term,12.288,--,--,12.811,0.021,12.288,0.525,13.075,320.275,9.911,13.357,--
    25  06/15/2026,25,06/15/2026,Short term,12.717,--,--,12.811,0.021,12.717,0.525,2.35,320.275,9.911,13.357,--
    15  06/24/2026,15,06/24/2026,Short term,12.6916,--,--,12.811,0.021,12.6916,0.315,1.791,192.165,9.911,13.357,--
    15  06/24/2026,15,06/24/2026,Short term,12.6455333,--,--,12.811,0.021,12.6455333,0.315,2.4820005,192.165,9.911,13.357,--
    FN +15 Shares (3 lots),15,06/11/2026,Short term,58.3258666,54.718,-1.49,54.718,-1.49,58.3258666,-14.6,-54.117999,820.77,54.825,56.08,2026-08-17
    5  06/11/2026,5,06/11/2026,Short term,59.389,--,--,54.718,-1.49,59.389,-7.45,-23.355,273.59,54.825,56.08,--
    5  06/16/2026,5,06/16/2026,Short term,60.9306,--,--,54.718,-1.49,60.9306,-7.45,-31.063,273.59,54.825,56.08,--
    5  07/01/2026,5,07/01/2026,Short term,54.658,--,--,54.718,-1.49,54.658,0.3,0.3,273.59,54.825,56.08,--
    FRCB +376 Shares (3 lots),376,08/14/2017,Long term,1.7655638,0.00011,-0.000035,0.00011,-0.000035,1.7655638,-0.01364,-663.8106288,0.04136,0,0,2023-07-27
    14  08/14/2017,14,08/14/2017,Long term,9.8594286,--,--,0.00011,-0.000035,9.8594286,-0.00049,-138.0304604,0.00154,0,0,--
    3  09/25/2018,3,09/25/2018,Long term,10.0136667,--,--,0.00011,-0.000035,10.0136667,-0.000105,-30.0406701,0.00033,0,0,--
    359  04/20/2023,359,04/20/2023,Long term,1.381,--,--,0.00011,-0.000035,1.381,-0.012565,-495.73951,0.03949,0,0,--
    GDMN +375 Shares (5 lots),375,06/15/2026,Short term,8.075872,7.262,0.021,7.262,0.021,8.075872,7.875,-305.202,2723.25,6.969,7.262,--
    50  06/15/2026,50,06/15/2026,Short term,8.81523,--,--,7.262,0.021,8.81523,1.05,-77.6615,363.1,6.969,7.262,--
    50  06/15/2026,50,06/15/2026,Short term,8.77581,--,--,7.262,0.021,8.77581,1.05,-75.6905,363.1,6.969,7.262,--
    50  06/18/2026,50,06/18/2026,Short term,8.25,--,--,7.262,0.021,8.25,1.05,-49.4,363.1,6.969,7.262,--
    125  06/22/2026,125,06/22/2026,Short term,8.0876,--,--,7.262,0.021,8.0876,2.625,-103.2,907.75,6.969,7.262,--
    100  06/29/2026,100,06/29/2026,Short term,7.2545,--,--,7.262,0.021,7.2545,2.1,0.75,726.2,6.969,7.262,--
    GM +325 Shares (9 lots),325,06/02/2026,Short term,8.0629015,7.552,-0.156,7.552,-0.156,8.0629015,-50.7,-166.0429875,2454.4,7.522,7.576,2026-07-21
